Topic,Term,Value
82,web,0.586
70,parliament,0.0
2,import,0.166
82,tariff,0.113
82,capx,-0.361
25,service,-0.215
6,trade,-0.162
71,independence,-0.579
65,list,0.1
3,tax,0.301
50,make,0.169
69,contempt,0.0
48,magazine,-0.193
17,share,-0.162
82,luximo,0.12
64,reasonsexporter,-0.092
52,word,0.225
41,arch,0.0
9,event,0.176
61,contempt,-0.29
49,facebook,-0.176
67,worker,-0.245
0,britannique,0.233
67,deal,0.471
65,quote,0.1
16,silk,-0.255
59,upr,-0.086
26,com,-0.235
4,residency,-0.242
15,person,0.201
22,majority,-0.165
24,analysis,0.165
64,inputsof,-0.092
8,parliament,-0.23
51,issue,-0.0
50,arch,0.169
53,theater,0.303
7,dignity,0.21
62,upr,0.402
23,good,0.154
34,project,-0.173
6,trading,-0.192
49,referendum,0.23
59,fref,-0.086
33,parliament,0.459
26,https,-0.181
36,delay,0.067
75,terror,-0.077
11,person,-0.239
0,pronostic,0.122
63,supporter,-0.514
22,web,0.346
20,contradiction,-0.242
57,upr,-0.166
40,magazine,-0.209
50,business,0.318
60,contempt,-0.353
15,time,0.132
73,farage,0.077
17,page,-0.235
63,side,-0.268
12,community,-0.204
42,sign,-0.206
10,civilization,-0.172
43,employment,0.188
47,bbc,-0.233
27,member,0.201
66,sign,-0.186
5,trading,0.174
35,com,0.16
74,street,0.17
51,guy,-0.0
55,sign,-0.537
20,hand,-0.222
28,person,-0.27
38,votary,-0.383
73,contradiction,-0.0
36,com,-0.056
23,partner,0.152
4,tax,-0.135
15,march,-0.229
18,name,0.145
23,food,0.152
52,wait,0.14
24,centre,0.165
68,trading,-0.136
67,cebr,-0.145
33,sign,-0.34
69,contradiction,-0.0
39,street,-0.342
40,lord,-0.286
11,england,-0.159
2,britain,0.135
81,delivery,0.36
38,theresa,0.209
18,lobby,0.233
25,import,-0.187
28,shame,-0.198
21,regime,-0.177
21,page,-0.211
81,word,0.207
73,dit,0.514
10,trade,-0.187
22,tariff,0.264
37,curse,0.149
30,follower,-0.284
40,web,0.343
48,bbc,-0.193
68,trade,-0.123
18,list,0.145
9,impact,0.176
63,thank,-0.162
81,government,0.065
46,link,-0.167
32,inputsof,-0.246
70,street,-0.0
79,number,0.12
64,standardsand,-0.092
21,pound,-0.177
45,talk,0.0
65,name,0.1
61,hate,0.181
18,channel,0.233
80,srexit,-0.31
30,property,-0.324
44,pr_vision,0.133
74,rush,-0.08
13,part,-0.144
67,economic,-0.145
0,d_jou,0.122
76,party,0.097
72,independence,0.577
35,theresa,0.159
14,civilization,-0.253
9,house,0.176
21,consumer,-0.177
35,arch,-0.237
79,person,-0.281
2,brexit,0.417
76,reflection,0.097
3,drive,0.151
83,person,0.158
0,union,0.115
29,brexiteer,-0.261
83,petition,-0.344
14,part,0.223
15,brexit,0.13
66,team,0.473
57,luximo,0.682
9,commons,0.176
22,http,0.229
34,web,-0.176
13,https_www,-0.235
14,day,0.159
30,country,-0.107
45,amendment,-0.0
3,part,-0.175
0,conomie,0.233
9,brexit,-0.27
82,britain,-0.128
64,brexiteer,0.463
72,government,-0.0
28,honor,-0.198
5,euro,-0.204
0,gouvernement,0.223
49,theater,0.177
1,agreement,-0.193
46,luximo,-0.211
22,capx,0.148
62,touch,0.3
37,apathy,0.149
