Topic,Term,Value
5,520,0.0
9,apoplectic,0.0
38,americani,0.0
4,trotters,0.0
15,dual,0.0
20,exchour,0.0
17,ilegal,0.0
29,europeanne,0.0
36,satalite,0.0
27,latvians,0.0
5,friperies,0.0
8,lawyer,0.0
13,theatre,0.0
8,akiens,0.0
25,vessels,0.0
18,turnip,0.0
14,afflicting,0.0
34,malaka,0.0
19,thel,0.0
3,utterance,0.0
32,incumbrance,0.0
27,bands,0.0
31,30877758,0.0
2,switches,0.0
22,50th,0.0
18,8ver,0.0
18,higgs,0.0
33,crapita,0.0
3,timesand,0.0
38,pmsfl,0.0
21,trawl,0.0
31,maram,0.0
24,buitenlanderness,0.0
22,bounced,0.0
23,irelandthey,0.0
2,bringo,0.0
1,lastt,0.0
28,removes,0.0
24,desiderata,0.0
9,newsnet,0.0
12,wright,0.0
15,cumbria,0.0
5,lauging,0.0
21,remaincertain,0.0
34,uncast,0.0
18,11937,0.0
9,annabelle,0.0
3,change,0.0
12,colonel,0.0
29,season,0.0
37,letnaturedothehardworkforyou,0.0
15,somehow,0.0
8,modernist,0.0
16,fantastisk,0.0
30,regretd,0.0
35,detonator,0.0
33,victorian,0.0
11,whaaazzzzooooo,0.0
14,fatso,0.0
12,greatlywhy,0.0
32,geoeconomic,0.0
12,awww,0.0
35,misunderstandings,0.0
7,bacteria,0.0
4,ekim,0.0
10,indikatoren,0.0
13,huartt,0.0
12,citizins,0.0
18,chattibg,0.0
8,fckd,0.0
3,happend,0.0
36,neptune,0.0
33,allllll,0.0
21,blenheim,0.0
5,landed,0.0
31,resurce,0.0
27,sortedif,0.0
30,uncritically,0.0
11,moist,0.0
29,hydroxide,0.0
29,inst,0.0
3,tarilor,0.0
24,algernon,0.0
23,incrinare,0.0
35,tet00047,0.0
3,kirkcaldy,0.0
36,blinded,0.0
18,chili,0.0
16,valleys,0.0
16,rin,0.0
2,sniffling,0.0
24,boswell,0.0
21,casey,0.0
27,shea,0.0
17,cleasby,0.0
28,caernarfon,0.0
5,colombo,0.0
3,woundering,0.0
10,galina,0.0
14,augean,0.0
29,coastal,0.0
22,discomfort,0.0
1,perversely,0.0
37,hospitablei,0.0
1,peaks,0.0
11,mclennan,0.0
36,arewant,0.0
18,epress,0.0
4,tragedi,0.0
2,agessexistmisogynistichomophobicbrutal,0.0
26,meeti,0.0
8,neerajbhardwaj01,0.0
16,mentioning,0.0
24,concedes,0.0
27,mobilised,0.0
35,veritable,0.0
3,thiswas,0.0
30,conflation,0.0
4,overp,0.0
14,samie,0.0
11,contiols,0.0
5,factbook,0.0
0,eu,0.011
25,opinioneci,0.0
5,sect,0.0
12,cafe,0.0
9,kers,0.0
19,baited,0.0
0,ed,0.019
28,votingbto,0.0
15,busses,0.0
12,5pm,0.0
20,rightevil,0.0
27,ledge,0.0
27,zwiazek,0.0
38,attractive,0.0
38,delux,0.0
21,winnable,0.0
15,sines,0.0
18,greeceyou,0.0
7,killingraping,0.0
38,thegoldwater,0.0
32,coused,0.0
37,geeing,0.0
34,terrine,0.0
11,siebenthaler,0.0
3,crewe,0.0
21,watermarking,0.0
33,yobbos,0.0
15,9c37,0.0
15,vache,0.0
30,formati,0.0
8,exceptions,0.0
4,sherl,0.0
16,choirs,0.0
17,tendancies,0.0
0,00a0,0.009
21,recinded,0.0
21,belief,0.0
31,ofend,0.0
13,gelston,0.0
12,trodden,0.0
1,manifacturies,0.0
37,sigb,0.0
13,disintegrer,0.0
27,olga,0.0
13,abseil,0.0
24,aana,0.0
22,insomuch,0.0
28,leftleft,0.0
2,arrogancetakes,0.0
31,dwarf,0.0
8,spicy,0.0
11,reserve,0.0
24,boothe,0.0
35,eeeee,0.0
25,134345,0.0
9,newport,0.0
39,curtice,0.0
36,piano,0.0
25,25bn,0.0
16,terorist,0.0
15,tvl,0.0
4,anglican,0.0
4,wayremainders,0.0
14,6th,0.0
36,everyone,0.0
0,people,0.008
12,277000,0.0
4,platitudes,0.0
10,vaccination,0.0
37,evrything,0.0
14,prahanadlani,0.0
36,nedexit,0.0
8,sudlow,0.0
23,dennisondarren,0.0
18,ainsworth,0.0
9,ritoenare,0.0
29,hotpoint,0.0
25,plse,0.0
12,whillock,0.0
7,valentines,0.0
9,christopherd,0.0
4,workingas,0.0
27,votein,0.0
20,amighty,0.0
36,macneill,0.0
39,strip,0.0
18,klok,0.0
15,louisa,0.0
15,confy,0.0
2,ixzz4azisssuf,0.0
36,writing,0.0
31,edmund,0.0
19,sunburns,0.0
10,mailey,0.0
30,descension,0.0
5,conquistadors,0.0
16,pillage,0.0
17,principally,0.0
23,fabrication,0.0
17,moguls,0.0
21,bich,0.0
21,clownists,0.0
6,playfer,0.0
20,lozinska,0.0
15,civitas,0.0
1,volna,0.0
39,gated,0.0
27,imminence,0.0
32,7bn,0.0
10,ususual,0.0
6,misuse,0.0
10,getajob,0.0
13,longest,0.0
2,peaks,0.0
28,arresting,0.0
1,pc,0.0
18,memetics,0.0
29,questionable,0.0
5,cutbacks,0.0
20,nahh,0.0
39,miesiecy,0.0
2,studoval,0.0
37,militias,0.0
15,contraire,0.0
31,histoty,0.0
5,oostindische,0.0
27,a7342131,0.0
17,meistenswegen,0.0
11,somehow,0.0
10,pattni,0.0
11,039,0.0
37,pithara,0.0
30,poskrbel,0.0
10,buggersthink,0.0
0,00bd,0.007
3,pout,0.0
11,pepepepeee,0.0
26,editorially,0.0
19,underpay,0.0
15,lusitania,0.0
34,negating,0.0
12,ikno,0.0
24,noortoom,0.0
26,baggage,0.0
36,spainitaly,0.0
11,joy,0.0
2,illegal,0.0
34,yoru,0.0
29,undemocratically,0.0
32,journalisttt,0.0
36,muhamad,0.0
14,resign,0.0
25,factsvmyths,0.0
6,spooned,0.0
8,jih,0.0
32,colloquialism,0.0
32,hamza,0.0
24,smirk,0.0
34,fckoff,0.0
6,maximise,0.0
39,appellations,0.0
33,whereas,0.0
7,cuppa,0.0
3,loyalty,0.0
24,ceo,0.0
0,00b8,0.005
37,chinese,0.0
2,maintainence,0.0
3,rattle,0.0
3,digested,0.0
