Topic,Term,Value
34,son,0.009
41,referendum,0.008
33,workguyslook,0.008
39,warrior,0.009
44,share_petition,0.007
21,fait,0.014
34,euif,0.009
18,march,0.009
19,news,0.008
17,winston,0.01
2,partner,0.01
24,attempt,0.008
5,side,0.008
6,plupart,0.011
20,avait,0.011
40,majority,0.011
6,sign,0.017
14,bil,0.009
17,tromp,0.009
24,commons,0.012
16,derision,0.009
37,community,0.009
24,consommation,0.007
39,property,0.009
9,father,0.009
18,lunatic,0.008
19,referendum,0.008
48,srexit,0.009
35,issue,0.012
8,commons,0.008
30,amendment,0.009
40,importer,0.014
8,video,0.008
4,britain,0.007
16,godplease,0.01
8,need,0.009
8,confirm,0.008
11,bill,0.01
48,party,0.012
48,frexit,0.008
6,organisation,0.009
33,analysis,0.008
2,word,0.008
11,britain,0.01
18,thank,0.011
24,lord,0.008
7,channel,0.007
17,competition,0.007
44,line,0.007
28,world,0.015
22,legislation,0.017
25,influence,0.011
24,union,0.012
49,racist,0.009
1,referendum,0.008
38,religion,0.008
4,surveymonkey,0.007
45,meeting,0.012
23,reflection,0.008
48,lunatic,0.01
14,history,0.007
11,culpaestimant,0.009
30,gov,0.009
15,bil,0.008
20,referendum,0.008
9,trimestre,0.008
16,britishand,0.008
15,delay,0.011
21,https,0.01
39,farage,0.01
5,hisse,0.008
35,veraient,0.009
32,form,0.012
37,type,0.007
44,brexitla,0.008
13,consumer,0.009
14,hope,0.007
37,tromp,0.007
3,change,0.007
6,review,0.01
31,continieu,0.008
23,attempt,0.008
32,union,0.015
20,channel,0.008
13,sympathy,0.009
6,fill,0.007
15,idea,0.008
12,wait,0.011
10,sorte,0.008
7,page,0.01
24,impact,0.008
20,misinformation,0.008
33,competition,0.007
34,need,0.008
31,girl,0.011
38,idea,0.011
18,inputsof,0.008
2,requirement,0.008
21,commons,0.008
8,bowl,0.011
31,service,0.008
45,right,0.01
31,trading,0.008
19,theviralogs,0.009
32,vehicle,0.008
23,organisme,0.007
14,regime,0.008
11,development,0.008
47,facebook_com,0.007
7,juin,0.009
7,majority,0.007
4,country,0.009
29,fullfact,0.018
44,sympathy,0.008
39,prophet,0.008
30,ireland,0.012
44,remainer,0.008
19,reflection,0.01
5,need,0.01
15,slavery,0.008
43,banque,0.007
14,manufacturing,0.007
43,sow,0.009
28,requirement,0.008
10,terror,0.013
43,vehicle,0.011
48,import,0.013
11,england,0.008
48,public,0.01
26,petition,0.009
6,fref,0.008
27,capx,0.008
44,post,0.007
47,troopsnaval,0.009
26,judge,0.008
35,wale,0.008
22,tariff,0.016
43,visit,0.009
35,dpbs,0.008
8,respect,0.011
1,ntexit,0.011
5,utm_medium,0.007
0,word,0.014
31,winston,0.008
23,follower,0.008
14,nature,0.014
21,access,0.007
32,copylink,0.008
6,cebr,0.008
40,make,0.007
21,market,0.008
40,england,0.009
27,pricesin,0.008
3,tenure,0.014
11,wifeor,0.007
1,rightsright,0.01
42,derision,0.008
14,follower,0.008
18,saywhatsoeverin,0.009
16,bil,0.01
17,email,0.008
21,policy,0.011
9,judge,0.009
40,pricesin,0.011
1,sow,0.009
5,supporter,0.016
3,consumer,0.008
38,reasonsexporter,0.008
41,talk,0.009
10,democracy,0.011
9,responsibility,0.008
25,photo,0.007
2,delay,0.007
49,surveymonkey,0.007
12,parliament,0.007
19,utm_source,0.008
8,falla,0.008
7,economic,0.011
35,dutch,0.008
40,slogan,0.008
36,trimestre,0.01
22,fact,0.008
23,tax,0.009
19,chef,0.01
45,utm_medium,0.007
17,remedy,0.013
8,hate,0.01
11,sympathy,0.007
2,support,0.008
39,sector,0.008
23,supporter,0.008
17,exit,0.01
42,transition,0.009
39,assurance,0.011
27,farage,0.008
13,law,0.013
49,theater,0.013
26,attack,0.009
32,list,0.01
13,frexit,0.015
40,curse,0.01
21,fullfact,0.012
34,influence,0.008
9,globalist,0.007
44,proof,0.007
1,https_www,0.008
32,smolensk,0.008
43,trimestre,0.008
25,dutch,0.007
25,fuel,0.007
33,sanctity,0.008
0,person,0.006
36,tre,0.009
25,nation,0.012
48,limit_e,0.011
23,leader,0.007
45,hand,0.011
9,falla,0.008
13,crap,0.008
40,boris,0.01
33,standard,0.011
11,amendment,0.011
21,natos,0.009
32,thank,0.009
24,business,0.012
34,manufacturing,0.009
13,wifeor,0.013
22,range,0.009
17,research,0.011
29,culpaestimant,0.007
46,http,0.008
25,meeting,0.008
10,export,0.008
21,organisation,0.008
34,island,0.008
11,custom,0.008
14,public,0.014
29,blank,0.01
19,europ_ennel,0.008
30,research,0.008
0,list,0.007
3,falla,0.01
9,community,0.01
22,number,0.01
26,support,0.01
4,par,0.01
38,recruiter,0.009
46,blair,0.007
42,london,0.008
23,end,0.008
12,baisse,0.007
32,hand,0.008
13,guy,0.01
13,supporter,0.008
18,good,0.016
27,democracy,0.009
8,city,0.012
3,force,0.009
41,list,0.007
23,photo,0.008
42,partner,0.015
5,wale,0.007
41,par,0.008
31,market,0.009
29,lot,0.012
7,rule,0.007
21,public,0.007
11,fullfact,0.008
3,comfort,0.008
49,past,0.008
37,golf,0.007
45,troopsnaval,0.011
10,moslem,0.011
37,channel,0.013
46,sorte,0.007
23,consumer,0.013
26,key,0.008
28,royaume,0.008
20,prophet,0.014
16,shame,0.007
9,pronostic,0.011
29,conomiste,0.01
38,allait,0.008
35,method,0.008
46,contradiction,0.013
28,nature,0.009
26,referendum,0.008
16,sensualism,0.01
3,utm_medium,0.011
11,right,0.007
33,ruin,0.007
22,magazine,0.009
43,tel,0.008
3,brexitie,0.008
19,idea,0.008
30,derision,0.008
41,key,0.009
4,victim,0.007
39,issue,0.009
16,fill,0.014
31,europ_ennel,0.008
32,utm_medium,0.008
27,outcome,0.008
25,conomiste,0.009
35,brexiteer,0.008
20,somebody,0.008
46,delay,0.008
23,sector,0.007
11,france,0.007
10,example,0.009
47,schwanz,0.008
1,zis,0.008
19,talk,0.009
10,power,0.007
38,leetle,0.008
38,organisation,0.009
1,travel,0.01
1,churchill,0.008
10,http,0.01
43,member,0.009
5,team,0.01
13,johnson,0.01
0,bil,0.01
16,proof,0.008
49,johnson,0.009
18,opinion,0.008
14,gov,0.01
34,pour,0.008
16,case,0.011
7,cas,0.007
19,aid,0.008
43,islam,0.014
11,share,0.011
25,crap,0.007
44,agreement,0.009
35,rush,0.011
1,slogan,0.012
7,pound,0.01
36,brexitie,0.01
3,contradiction,0.009
15,drink,0.009
44,saywhatsoeverin,0.009
45,briefing,0.009
1,policy,0.008
42,video,0.008
18,remedy,0.008
9,power,0.009
32,briefing,0.01
5,upr,0.01
47,justice,0.009
40,export,0.007
23,majority,0.012
6,fact,0.007
30,honor,0.011
46,brexitla,0.008
38,schengen,0.009
12,churchill,0.009
26,blair,0.007
33,court,0.013
37,ancient,0.013
48,information,0.009
26,amendment,0.009
13,hand,0.022
15,security,0.009
45,link,0.009
5,order,0.022
25,fact,0.008
26,avait,0.008
47,impact,0.007
42,tre,0.01
35,trading,0.008
22,britannique,0.011
14,paymentsthreat,0.01
34,tax,0.009
17,facebook_com,0.007
39,tradition,0.012
38,line,0.015
31,drink,0.01
42,house,0.009
46,life,0.009
41,mohammedan,0.007
32,employment,0.007
0,zis,0.007
44,sorte,0.008
6,area,0.007
0,remainer,0.014
33,briefing,0.008
10,leader,0.009
15,son,0.01
20,library,0.011
30,dit,0.01
17,meeting,0.01
10,penny,0.012
0,residente,0.009
24,vogue,0.012
28,britain,0.012
3,judgement,0.01
2,lot,0.008
37,theviralogs,0.014
37,requirement,0.01
32,majority,0.01
15,sow,0.009
0,country,0.006
17,inability,0.009
16,worker,0.007
21,city,0.008
9,guy,0.008
31,fill,0.009
16,change,0.007
43,plupart,0.009
26,warrior,0.008
30,srexit,0.009
12,petition,0.008
11,reasonsexporter,0.008
47,theirsand,0.008
20,government,0.008
21,godplease,0.009
35,boris,0.014
4,responsibility,0.007
41,fishing,0.012
13,comfort,0.008
5,srexit,0.007
36,peace,0.013
14,worker,0.01
39,zis,0.011
41,civilization,0.015
43,soul,0.012
27,facebook_com,0.019
2,britishand,0.007
17,wale,0.011
13,article,0.008
46,side,0.009
27,rement,0.008
29,documentation,0.009
20,recruiter,0.009
22,news,0.008
10,change,0.011
6,faith,0.01
24,theater,0.009
5,standardsand,0.007
19,curse,0.011
22,girl,0.014
13,theviralogs,0.01
2,upr,0.008
32,legislation,0.008
30,travel,0.01
46,proof,0.017
44,organisme,0.01
16,investor,0.011
28,case,0.012
12,victim,0.008
24,outcome,0.009
24,guy,0.009
42,woman,0.008
0,photo,0.02
27,slogan,0.009
33,paymentsthreat,0.01
2,method,0.009
43,number,0.012
28,page,0.009
14,set,0.017
42,racism,0.008
42,fullfact,0.007
12,union,0.013
45,smolensk,0.01
14,cas,0.011
36,bil,0.01
7,list,0.01
7,abus,0.007
37,delivery,0.009
48,boris,0.012
18,mohammedan,0.009
0,need,0.01
17,allait,0.007
10,sthash,0.009
9,conomiste,0.009
45,issue,0.009
34,standardsand,0.008
3,ntexit,0.008
2,impact,0.007
33,chef,0.01
16,dispatch,0.008
37,brexit,0.011
20,par,0.009
36,ruin,0.011
7,contempt,0.007
49,https_www,0.009
23,export,0.007
3,trade,0.007
3,water,0.01
17,reflection,0.008
40,fullfact,0.011
9,reasonsexporter,0.012
27,guarantor,0.009
9,tre,0.007
24,bonport,0.01
18,anybody,0.01
0,natos,0.006
27,zis,0.009
44,rement,0.008
28,soul,0.007
30,brexiteer,0.01
9,extinction,0.008
7,culpaestimant,0.007
13,holiday,0.009
4,side,0.009
5,johnson,0.008
10,union,0.007
4,safeness,0.011
17,influence,0.007
28,paymentsthreat,0.008
41,bonport,0.007
27,cas,0.011
28,generation,0.009
29,touch,0.008
21,estate,0.011
23,help,0.011
12,soul,0.009
17,baisse,0.009
49,right,0.007
16,supporter,0.008
26,good,0.009
48,travel,0.01
0,europe,0.006
36,brexitla,0.011
37,article,0.009
33,proof,0.007
43,manufacturing,0.008
32,position,0.007
14,standardsand,0.009
30,worker,0.008
29,banque,0.011
19,man,0.01
31,guy,0.01
40,island,0.008
36,solution,0.009
17,supporter,0.011
33,city,0.007
34,requirement,0.012
25,line,0.018
23,conomiste,0.007
22,import,0.014
3,flight,0.008
1,pronostic,0.007
26,tea,0.013
49,dogma,0.013
35,blog,0.009
42,saywhatsoeverin,0.007
18,parliament,0.009
9,dutch,0.009
14,change,0.01
45,bowl,0.007
15,johnson,0.008
9,theater,0.007
11,hand,0.007
22,library,0.01
43,terror,0.011
35,list,0.008
26,wifeor,0.01
43,guy,0.009
36,think,0.009
9,silk,0.008
22,london,0.01
3,petition,0.008
19,bbc,0.008
32,standard,0.009
41,think,0.012
5,zis,0.011
9,share,0.013
42,europe,0.011
11,peace,0.009
8,support,0.009
33,pricesin,0.008
46,water,0.012
17,residency,0.009
20,responsibility,0.012
37,winston,0.008
37,facebook,0.007
36,information,0.008
27,information,0.009
31,gouvernement,0.01
17,theresa,0.008
32,area,0.009
5,influence,0.01
48,tre,0.01
1,lourdement,0.015
18,purse,0.009
26,email,0.008
33,office,0.008
13,trading,0.008
33,information,0.014
49,britannique,0.007
40,video,0.007
20,contempt,0.007
47,list,0.008
28,smolensk,0.008
25,juin,0.008
8,cas,0.008
35,solution,0.016
47,mind,0.009
18,visa,0.008
16,attack,0.007
34,organisme,0.009
34,analyste,0.009
6,public,0.007
3,need,0.013
0,amenity,0.014
49,name,0.009
28,example,0.009
18,curse,0.007
34,commitment,0.017
40,churchill,0.011
25,space,0.008
38,generation,0.008
24,https_www,0.008
12,food,0.007
18,law,0.014
10,make,0.013
13,post,0.014
28,bill,0.009
41,property,0.007
29,travel,0.013
17,fref,0.007
44,utm_source,0.01
7,srexit,0.011
12,workguyslook,0.014
18,guarantor,0.008
12,bill,0.007
41,sign,0.007
0,parliament,0.006
29,think,0.007
45,cas,0.008
38,rush,0.009
29,tariff,0.011
45,sponsor,0.008
36,system,0.008
27,brexitla,0.012
11,shame,0.007
41,democracy,0.009
37,theirsand,0.007
1,ally,0.009
7,theviralogs,0.009
47,think,0.01
34,judge,0.009
13,lesson,0.008
35,remainer,0.009
15,grace,0.009
47,fullfact,0.01
40,woman,0.011
47,trade,0.008
25,side,0.013
42,lot,0.008
33,custom,0.007
47,day,0.008
21,impact,0.01
6,solution,0.007
49,organisme,0.011
36,country,0.012
46,power,0.007
39,exit,0.009
4,limit_e,0.008
15,sensualism,0.01
28,tre,0.009
12,house,0.007
12,somebody,0.011
4,insecurity,0.011
25,force,0.008
24,banque,0.008
24,veraient,0.008
40,ancient,0.008
29,juin,0.008
18,right,0.01
29,government,0.007
17,list,0.018
43,frexit,0.012
4,follower,0.012
6,insecurity,0.009
18,tea,0.009
12,scotland,0.007
18,fref,0.01
30,analysis,0.008
8,set,0.011
28,europe,0.009
37,archive,0.011
10,share_petition,0.01
36,comfort,0.009
0,surveymonkey,0.006
33,business,0.007
21,amendment,0.011
4,plongerait,0.009
47,woman,0.009
30,insecurity,0.009
31,regime,0.011
22,democracy,0.009
23,assurance,0.009
15,luximo,0.009
27,particuli,0.008
49,estate,0.009
19,hope,0.01
31,organisation,0.007
43,event,0.008
13,web,0.008
30,aid,0.011
25,utm_medium,0.01
22,assurance,0.01
25,luximo,0.011
15,research,0.013
34,economic,0.01
2,euro,0.008
0,tel,0.013
49,photo,0.007
42,archive,0.01
15,victim,0.008
34,help,0.008
20,idea,0.008
13,zis,0.01
30,slavery,0.009
25,idea,0.009
3,day,0.01
4,son,0.01
38,wait,0.01
18,estate,0.014
1,act,0.011
48,team,0.012
2,religion,0.007
48,trading,0.01
7,property,0.007
15,act,0.011
42,government,0.007
11,link,0.007
32,curse,0.012
44,flight,0.008
39,thank,0.008
23,zis,0.009
13,analysis,0.01
20,commons,0.011
41,share,0.007
5,conomie,0.011
28,justice,0.009
32,brexitie,0.012
45,fullfact,0.007
0,utm_medium,0.009
41,blair,0.007
46,person,0.013
34,leader,0.01
21,email,0.008
31,cartoon,0.008
20,smolensk,0.007
24,avait,0.01
19,somebody,0.01
47,project,0.01
45,ireland,0.008
39,frexit,0.009
45,rush,0.011
4,office,0.009
12,juin,0.009
8,exit,0.008
41,lobby,0.011
30,tariff,0.013
7,insecurity,0.015
44,theviralogs,0.009
4,key,0.007
44,safeness,0.008
45,amenity,0.007
3,competition,0.009
27,lot,0.007
39,type,0.008
36,vehicle,0.01
41,son,0.008
16,https_www,0.01
24,flight,0.012
35,help,0.008
4,pr_vision,0.01
33,history,0.007
45,votary,0.009
46,culpaestimant,0.009
15,london,0.008
2,winston,0.007
30,page,0.009
6,delay,0.008
41,science,0.01
0,area,0.008
20,cheque,0.018
41,veraient,0.01
48,pr_vision,0.01
2,worker,0.007
28,holiday,0.008
36,arm,0.01
27,follower,0.007
2,outcome,0.011
7,petition,0.01
15,residency,0.008
12,boris,0.007
6,position,0.009
12,track,0.011
35,dispatch,0.008
21,particuli,0.007
39,cebr,0.012
33,ireland,0.007
38,street,0.012
27,extinction,0.007
19,moslem,0.008
38,croissance,0.018
3,protest,0.01
25,confirm,0.007
1,life,0.01
10,web,0.014
26,d_jou,0.019
9,culpaestimant,0.009
5,blair,0.008
29,key,0.011
14,channel,0.009
21,par,0.008
42,wifeor,0.01
8,member,0.008
23,share,0.012
1,legislation,0.008
15,import,0.008
40,order,0.011
28,regime,0.008
11,penny,0.007
8,dpbs,0.01
27,bonport,0.009
25,membership,0.009
26,baisse,0.007
8,condition,0.01
39,thing,0.01
27,cheque,0.008
16,somebody,0.014
37,information,0.009
31,ntexit,0.009
12,purse,0.012
4,brexit,0.009
1,vogue,0.009
15,facebook,0.009
32,case,0.013
29,part,0.008
