Topic,Term,Value
18,10155022861212316,0.0
38,beaches,0.0
13,auriole,0.0
9,showered,0.0
32,horner,0.0
38,statues,0.0
23,sussys,0.0
11,indergrated,0.0
37,sanctimony,0.0
20,uday,0.0
0,u,0.039
47,nancies,0.0
17,landlock,0.0
48,79th,0.0
21,indocrination,0.0
12,1957,0.0
43,pacifica,0.0
18,maggiormente,0.0
28,misfits,0.0
38,dulum,0.0
1,sprawdza,0.0
45,booked,0.0
37,camermonger,0.0
10,amphibious,0.0
21,reagardles,0.0
13,togethet,0.0
48,unserviceable,0.0
48,arrrhhh,0.0
33,draining,0.0
46,fartshave,0.0
7,possibilities,0.0
5,shopped,0.0
29,mischon,0.0
20,nonviolent,0.0
1,partyit,0.0
9,sampled,0.0
1,heaving,0.0
32,taharrushed,0.0
13,btjfwi,0.0
13,airplane,0.0
35,meistenswegen,0.0
21,ska,0.0
8,peaurt,0.0
46,joiningthe,0.0
42,brownjust,0.0
17,frequent,0.0
22,include,0.0
16,smidgeon,0.0
3,isrealis,0.0
6,686014,0.0
27,efdd,0.0
30,perpetual,0.0
22,cecile,0.0
29,serbian,0.0
11,hateing,0.0
31,minor,0.0
29,butterfly,0.0
49,res,0.0
8,charches,0.0
43,trariffs,0.0
2,bellow,0.0
14,20obama,0.0
27,likeno,0.0
45,giveing,0.0
2,stalingrad,0.0
48,suppliment,0.0
27,leadership,0.0
40,montgomery,0.0
29,pluckers,0.0
4,1790357474516500,0.0
32,lieshe,0.0
17,pre1930s,0.0
47,nissans,0.0
36,a7156491,0.0
30,sign,0.0
8,pwned,0.0
32,zudagosgreat,0.0
5,jeramy,0.0
18,yesonly,0.0
18,chinarussia,0.0
15,indigenousthey,0.0
26,relearn,0.0
0,eu,0.011
9,est,0.0
37,stephanou,0.0
0,ed,0.019
18,elites,0.0
6,kenya,0.0
3,netty,0.0
27,eu1sgf6chmw,0.0
41,smoke,0.0
16,mcstay,0.0
43,mandami,0.0
4,crowdwhy,0.0
9,accustom,0.0
44,atomically,0.0
31,fwb,0.0
23,ford_s___80m_eu_loan_to_boost_turkey_factory___and_close_ours,0.0
11,terraced,0.0
0,00a0,0.009
15,1856,0.0
3,wupps,0.0
5,parasiticle,0.0
3,parliamentcan,0.0
17,unionsnot,0.0
5,buttoned,0.0
3,webpage,0.0
49,lien,0.0
43,lemon,0.0
44,touch_,0.0
41,windpipe,0.0
9,rossall,0.0
48,clarity,0.0
20,parlement,0.0
20,regardsroy,0.0
3,vindictive,0.0
48,counterfeiting,0.0
27,eiland,0.0
32,subtlety,0.0
0,people,0.008
32,stornaway,0.0
6,acutually,0.0
28,boylin,0.0
8,blobb,0.0
16,themfilthy,0.0
16,plummetting,0.0
18,violayou,0.0
4,underrate,0.0
36,corerct,0.0
41,vrees,0.0
42,arrayed,0.0
0,can,0.006
34,endured,0.0
41,coverage,0.0
23,learnyou,0.0
9,0ahukewicjtua3ctrahxk6xokhtslab8q_auibygb,0.0
2,saltwater,0.0
12,perils,0.0
14,reeve,0.0
39,scunthorpetelegraph,0.0
34,742966055845916,0.0
25,eutanazje,0.0
15,surive,0.0
9,themwhat,0.0
1,ryll,0.0
48,bulgarians,0.0
2,drained,0.0
37,brexists,0.0
13,kennie,0.0
39,funnily,0.0
34,1t,0.0
0,00bd,0.007
14,decisiion,0.0
17,ards,0.0
35,weeping,0.0
44,279823349081910,0.0
42,analytic_index_e,0.0
33,propagates,0.0
6,vanishes,0.0
19,dt,0.0
17,distracts,0.0
23,rallires,0.0
28,evicting,0.0
14,ambition,0.0
21,m_glichkeiten,0.0
20,123445g6u7u89_,0.0
41,jamacian,0.0
21,remaain,0.0
33,inspecting,0.0
5,steroids,0.0
22,100007836316533,0.0
10,givenwe,0.0
12,sitges,0.0
24,modificato,0.0
15,38,0.0
2,wealfare,0.0
10,whelanjust,0.0
34,searing,0.0
47,contritions,0.0
8,charris,0.0
5,minorty,0.0
22,honsik,0.0
33,circumnavigating,0.0
13,goswami,0.0
20,constabularies,0.0
5,mubee,0.0
2,doctor,0.0
23,describes,0.0
10,barister,0.0
29,3nations,0.0
6,795,0.0
37,bensley,0.0
35,thoracic,0.0
31,qc,0.0
23,manyi,0.0
47,smegma,0.0
14,sprawl,0.0
25,isdat,0.0
12,thatcus,0.0
10,adversities,0.0
5,lobed,0.0
15,chathamhouse,0.0
40,yngve,0.0
37,hans,0.0
48,wimps,0.0
30,relaxations,0.0
36,chrost,0.0
33,islamophobes,0.0
7,narcissistic,0.0
7,negotiaions,0.0
30,636604,0.0
8,libelz,0.0
25,farmers,0.0
39,heartbeat,0.0
13,breathless,0.0
26,rum,0.0
22,trou,0.0
19,jordans,0.0
22,misstatement,0.0
2,awash,0.0
45,20160821,0.0
39,wishesbeth,0.0
15,bricklayer,0.0
16,brands,0.0
43,milana,0.0
33,intrusive,0.0
2,sparkly,0.0
22,strawberies,0.0
42,murah,0.0
24,unchangeable,0.0
14,dobin,0.0
46,muzzle,0.0
12,terminus,0.0
39,200billion,0.0
8,janine,0.0
13,tartar,0.0
9,plaintive,0.0
49,newstime,0.0
29,660655,0.0
42,fantasize,0.0
34,misfortunes,0.0
49,34p,0.0
40,joanna,0.0
0,t,0.015
15,inroads,0.0
0,s,0.014
32,movementthis,0.0
21,muzz,0.0
6,fullford,0.0
44,guilfoyle,0.0
42,billsnap,0.0
28,spalovna,0.0
41,pescatore,0.0
24,102,0.0
44,biased,0.0
4,euroslaves,0.0
19,ff,0.0
43,skozi,0.0
29,mozzie,0.0
17,pusillanimous,0.0
26,villas,0.0
35,ambulance,0.0
48,romero,0.0
32,compny,0.0
12,pweoc2,0.0
26,tossget,0.0
40,indeterminate,0.0
3,uhgg,0.0
14,bwahahaha,0.0
29,cottenham,0.0
46,cockwomblewhile,0.0
28,trisha,0.0
41,juniors,0.0
40,bragger,0.0
49,assesses,0.0
7,dicky,0.0
21,sliding,0.0
45,codgers,0.0
28,gintaras,0.0
7,perrier,0.0
35,neeeeeedip,0.0
23,discharge,0.0
36,possitions,0.0
11,nobheadand,0.0
38,kofi,0.0
31,westernised,0.0
28,a7478771,0.0
17,hamish,0.0
1,turds,0.0
43,timmins,0.0
36,rusks,0.0
37,exsuse,0.0
12,armpit,0.0
31,hassling,0.0
10,brittannia,0.0
34,lslamist,0.0
2,shesuppose,0.0
37,inexistent,0.0
19,finals,0.0
45,repand,0.0
35,practising,0.0
30,attaturks,0.0
47,kwitter,0.0
20,ll,0.0
3,balloonall,0.0
29,l9jl1q,0.0
28,doss,0.0
49,pottery,0.0
47,dites,0.0
49,meehan,0.0
26,surfacing,0.0
26,alsoopen,0.0
28,mounthpiece,0.0
30,idukkcn11s1tn,0.0
47,blindfold,0.0
45,sayshow,0.0
45,quell,0.0
19,elks,0.0
16,euthat,0.0
48,functionalism,0.0
13,bueno,0.0
11,unreasonably,0.0
6,bada,0.0
24,demeanor,0.0
1,kicks,0.0
19,eldery,0.0
42,kolhoz,0.0
4,gog,0.0
38,addled,0.0
38,documentary,0.0
27,planned,0.0
25,cached,0.0
19,poverty,0.0
18,thiz,0.0
7,rendering,0.0
47,src,0.0
39,tasteful,0.0
37,eactly,0.0
45,louturkey,0.0
41,60s,0.0
32,caters,0.0
26,forsters,0.0
7,amicable,0.0
30,hapless,0.0
44,blic,0.0
26,regionalist,0.0
22,14s2d,0.0
11,questionable,0.0
40,25379,0.0
43,backy,0.0
35,unlucky,0.0
42,kee,0.0
5,pasture,0.0
20,altrnitve,0.0
46,greetings,0.0
33,mahri,0.0
46,gravitas,0.0
37,waren,0.0
22,particulier,0.0
23,coasts,0.0
16,wantedtotally,0.0
47,nethanayu,0.0
8,honestley,0.0
10,amuses,0.0
40,hlms,0.0
34,ullmann,0.0
25,shenzhen,0.0
40,batangas,0.0
7,excitement,0.0
14,cherrypick,0.0
21,hasand,0.0
27,morag,0.0
45,zvon,0.0
26,pot,0.0
16,simmer,0.0
17,deli,0.0
18,disparaging,0.0
41,x2,0.0
1,mordor,0.0
24,ivanku,0.0
36,maggi,0.0
23,jacarilla,0.0
15,expression,0.0
24,gesh,0.0
42,zzzz,0.0
36,mwuhahhahahaha,0.0
25,multimillion,0.0
30,veldig,0.0
28,comeback,0.0
3,collapseing,0.0
46,ererer,0.0
24,goose,0.0
5,80to,0.0
38,eiffel,0.0
29,deux,0.0
4,38786576,0.0
19,briens,0.0
1,hopelessness,0.0
19,marika,0.0
44,outpouring,0.0
14,decission,0.0
32,moneymost,0.0
16,esteemed,0.0
10,saldr,0.0
36,micro,0.0
0,will,0.01
43,lips,0.0
15,intuitive,0.0
31,jager,0.0
27,2843138,0.0
21,waycist,0.0
11,emborrachan,0.0
8,insurance,0.0
35,chant,0.0
22,pictures,0.0
19,snubbing,0.0
4,shld,0.0
8,bitten,0.0
7,butik,0.0
42,coyloote,0.0
1,adelewe,0.0
34,memoire,0.0
41,mugged,0.0
47,vortex,0.0
2,yaaaawwwn,0.0
44,fruedian,0.0
6,perscription,0.0
21,outright,0.0
26,funeral,0.0
24,demos,0.0
12,confrontation,0.0
44,peaple,0.0
6,paulthese,0.0
30,comeing,0.0
13,employers,0.0
25,taping,0.0
33,687,0.0
10,piper,0.0
31,bandwidth,0.0
34,ciezko,0.0
39,brokered,0.0
23,programmes,0.0
43,handbags,0.0
20,breech,0.0
25,12500000,0.0
39,25253a,0.0
30,hankins,0.0
46,whinges,0.0
4,indy,0.0
6,primeminster,0.0
11,ampia,0.0
44,ballots,0.0
45,loving,0.0
38,woolhouse,0.0
46,schengan,0.0
18,keightley,0.0
1,banisters,0.0
49,luxborough,0.0
38,arron,0.0
3,shit,0.0
31,variaties,0.0
20,swade,0.0
31,hinds,0.0
38,floral,0.0
25,sucide,0.0
49,paedophile,0.0
27,marlyn,0.0
11,cynic,0.0
9,conspiracies,0.0
4,gloucesterhsire,0.0
36,shop,0.0
10,dell,0.0
7,experience,0.0
39,emailed,0.0
46,invovled,0.0
12,sv_,0.0
49,d3n8a8pro7vhmx,0.0
24,extrapolate,0.0
25,scotum,0.0
9,enkrat,0.0
27,rideout,0.0
36,carder,0.0
35,outand,0.0
12,minford,0.0
24,givernment,0.0
35,intuitions,0.0
40,biffs,0.0
40,fared,0.0
15,franki,0.0
11,252c7vjni8uixwesfm,0.0
4,catergory,0.0
39,16f236b2,0.0
34,nunl,0.0
31,spring,0.0
18,butyou,0.0
33,nannygood,0.0
16,mordaunt,0.0
33,revoir,0.0
17,lp,0.0
14,glasseye,0.0
