Topic,Term,Value
34,office,0.009
1,fullfact,0.008
16,solution,0.022
47,school,0.02
34,time,0.009
44,trading,0.008
9,trading,0.007
54,attack,0.012
58,holiday,0.008
24,regime,0.01
24,trimestre,0.012
30,misinformation,0.011
13,organisation,0.009
34,service,0.009
6,trade,0.008
4,market,0.008
27,web,0.008
53,sanctity,0.014
38,saywhatsoeverin,0.009
55,copylink,0.008
53,lot,0.008
4,refinement,0.009
33,aid,0.008
43,sponsor,0.01
38,pre,0.008
45,slavery,0.008
11,export,0.007
50,exit,0.008
3,tory,0.007
52,investor,0.01
8,part,0.007
56,mohammedanism,0.009
41,arch,0.008
45,team,0.008
15,allemagne,0.007
57,paymentsthreat,0.008
47,member,0.009
8,commons,0.011
59,england,0.008
10,utm_source,0.012
6,remedy,0.01
0,lobby,0.014
53,hisse,0.017
32,holiday,0.009
11,mean,0.01
50,proof,0.008
3,churchill,0.007
21,science,0.009
30,farage,0.009
2,team,0.008
59,r_cession,0.012
32,prophet,0.008
26,shoot,0.013
51,make,0.008
33,penny,0.009
31,bbc,0.009
7,import,0.009
15,deal,0.014
47,security,0.008
25,family,0.012
46,organisme,0.01
0,office,0.008
21,investor,0.01
17,golf,0.019
27,delay,0.009
12,party,0.011
0,avait,0.008
23,independence,0.01
7,dignity,0.012
46,britannique,0.01
0,sthash,0.008
42,analyste,0.014
11,comfort,0.012
16,key,0.012
36,organisme,0.007
26,sow,0.008
53,fill,0.015
51,brexit,0.011
52,past,0.009
12,confirm,0.013
31,sport,0.011
39,attempt,0.02
52,avait,0.007
54,visit,0.009
5,petition,0.008
18,sow,0.011
37,export,0.007
18,past,0.01
27,link,0.015
42,remedy,0.01
47,discrimination,0.011
14,https_www,0.009
1,link,0.011
13,arm,0.011
30,lourdement,0.01
55,article,0.009
58,reflection,0.008
46,majority,0.009
29,cebr,0.018
55,civilization,0.008
44,bil,0.008
51,surveymonkey,0.008
44,page,0.008
23,news,0.008
43,employment,0.007
20,travel,0.007
28,gov,0.009
2,standardsand,0.008
3,sthash,0.011
29,plongerait,0.01
39,pre,0.011
17,case,0.011
48,fact,0.008
9,power,0.019
13,civilization,0.017
16,hope,0.011
51,amorphamedia,0.008
52,fact,0.01
47,form,0.012
31,peace,0.012
45,programme,0.008
14,rome,0.009
18,penny,0.008
32,insecurity,0.008
1,shame,0.014
34,misinformation,0.008
9,test,0.007
36,com,0.008
58,email,0.01
1,ancient,0.011
17,key,0.007
32,brixit,0.013
7,avait,0.012
15,slavery,0.007
12,smolensk,0.014
10,range,0.009
44,hydrophobia,0.008
22,act,0.008
56,pound,0.009
41,culpaestimant,0.009
22,moslem,0.008
8,method,0.015
19,nation,0.01
40,tradition,0.008
49,democracy,0.007
1,delay,0.008
5,proof,0.009
0,analyste,0.008
37,dignity,0.011
1,tre,0.012
45,judgement,0.008
59,oppertunity,0.009
14,purse,0.01
37,workguyslook,0.008
53,dit,0.013
49,range,0.01
41,centre,0.009
53,slavery,0.008
48,school,0.007
30,talk,0.009
32,organisation,0.008
51,type,0.008
4,documentation,0.009
17,veraient,0.008
8,oppertunity,0.008
27,science,0.013
8,union,0.008
29,wale,0.011
11,order,0.016
7,example,0.011
42,brexiteer,0.008
20,dispatch,0.006
30,follower,0.008
9,britishand,0.01
14,britishand,0.009
20,national,0.016
26,blair,0.008
30,test,0.008
44,budget,0.009
34,hand,0.01
16,plongerait,0.009
22,generation,0.007
45,soul,0.008
32,moslem,0.01
59,britain,0.01
44,consumer,0.009
22,membership,0.008
20,paris,0.007
29,britishand,0.008
6,utm_source,0.011
38,talk,0.007
53,hate,0.007
10,bonport,0.011
11,scenario,0.008
40,aid,0.008
23,quote,0.007
29,natos,0.009
23,allemagne,0.009
45,member,0.01
2,respect,0.009
9,sanctity,0.007
57,terror,0.009
20,https_www,0.006
25,remainer,0.011
26,blog,0.008
25,tea,0.016
58,majority,0.008
12,hate,0.01
47,utm_source,0.01
39,girl,0.007
32,http,0.009
14,page,0.008
34,peace,0.012
27,https,0.012
45,avait,0.011
25,woman,0.008
55,importer,0.008
50,national,0.008
34,consommation,0.013
24,commons,0.008
34,nation,0.012
15,method,0.007
28,addition,0.011
23,union,0.01
35,school,0.012
15,hope,0.01
49,hope,0.008
42,need,0.014
21,utm_medium,0.01
30,inspiration,0.009
43,fill,0.009
41,talk,0.009
54,dogma,0.01
18,hand,0.009
50,zonesa,0.009
57,crap,0.008
57,position,0.008
36,cartoon,0.008
34,attack,0.009
41,france,0.009
12,sanctity,0.011
21,method,0.011
57,conomie,0.011
38,brexitie,0.008
56,house,0.01
1,precedent,0.007
18,honor,0.008
13,end,0.012
38,ruin,0.01
21,chef,0.014
6,tre,0.01
4,tromp,0.008
45,consumer,0.008
17,court,0.008
4,tea,0.008
37,remainer,0.011
23,island,0.007
16,proof,0.009
21,britishand,0.007
4,baisse,0.017
38,curse,0.009
44,theresa,0.008
33,veraient,0.014
13,crap,0.011
25,estimant,0.009
41,trade,0.008
14,falla,0.007
21,documentation,0.013
3,thing,0.008
55,library,0.009
40,public,0.007
41,mohammedan,0.007
18,bil,0.01
10,documentation,0.009
55,cartoon,0.008
