Topic,Term,Value
20,rule,0.01
12,racist,0.008
17,remainer,0.009
23,custom,0.011
12,article,0.008
25,brexitla,0.01
26,woman,0.012
20,https_www,0.007
9,research,0.008
6,sign,0.009
14,bil,0.009
9,somebody,0.008
22,soul,0.008
22,power,0.007
22,continieu,0.009
28,good,0.008
20,d_jou,0.007
9,team,0.009
22,commitment,0.009
17,europe,0.008
24,judgement,0.007
28,import,0.009
5,blog,0.009
10,organisme,0.009
21,science,0.009
19,member,0.009
15,schwanz,0.007
23,hydrophobia,0.007
25,abuse,0.007
8,dogma,0.007
21,investor,0.011
27,delay,0.011
5,bowl,0.009
23,good,0.007
4,surveymonkey,0.009
5,history,0.009
18,fill,0.01
0,attack,0.009
16,culpaestimant,0.011
5,fref,0.008
17,channel,0.009
18,frexit,0.007
20,referendum,0.008
21,insecurity,0.008
4,link,0.01
2,fishing,0.009
25,organisme,0.007
24,fuel,0.009
13,community,0.012
20,rush,0.011
13,order,0.011
15,business,0.009
27,safeness,0.01
6,fill,0.012
24,information,0.01
9,deal,0.014
10,civilization,0.009
16,rule,0.009
20,winston,0.007
13,fullfact,0.01
16,area,0.009
2,insecurity,0.019
28,quote,0.01
10,son,0.009
26,tradition,0.009
3,project,0.009
3,side,0.008
29,conomie,0.01
23,system,0.008
2,amorphamedia,0.008
6,vogue,0.01
9,right,0.008
19,time,0.009
1,track,0.009
3,baisse,0.009
21,analyste,0.014
11,england,0.014
2,britain,0.008
26,choice,0.011
2,moslem,0.009
5,slavery,0.012
18,article,0.01
18,justice,0.022
15,help,0.009
20,right,0.008
19,rightsright,0.008
27,condition,0.013
11,competition,0.008
16,rush,0.009
17,street,0.011
10,worker,0.01
15,documentation,0.01
14,nature,0.011
0,track,0.008
9,consumer,0.009
23,reflection,0.008
7,sign,0.008
7,justice,0.009
14,particuli,0.008
27,commitment,0.01
18,sanctity,0.008
8,importer,0.008
21,act,0.013
21,party,0.008
27,name,0.009
19,misinformation,0.008
28,addition,0.008
17,sympathy,0.009
1,past,0.007
23,visa,0.01
21,faith,0.008
2,support,0.007
