Topic,Term,Value
21,massing,0.027
18,take,0.013
51,scheduled,0.037
33,southern,0.054
47,period,0.015
66,karachi,0.015
57,say,0.015
9,trading,0.04
61,groups,0.032
60,angry,0.012
19,kilometers,0.024
33,intelligence,0.019
34,suspected,0.027
35,just,0.021
46,attack,0.037
18,dead,0.011
56,trading,0.012
67,office,0.013
33,escalated,0.024
56,militant,0.013
19,resignation,0.028
64,western,0.034
10,senior,0.011
8,india,0.028
9,pakistan,0.017
24,lawmaker,0.012
59,fresh,0.015
11,know,0.011
69,security,0.04
22,military,0.022
58,intelligence,0.017
27,worst,0.019
43,parliament,0.021
16,came,0.033
62,mohammed,0.017
63,mohammed,0.037
39,say,0.02
67,days,0.011
11,parliament,0.024
42,carrying,0.017
16,yesterday,0.012
47,karachi,0.045
3,organisations,0.05
27,sanctions,0.038
41,accused,0.018
38,50,0.033
28,20,0.012
21,remain,0.016
19,pakistan,0.041
46,south,0.038
65,presidency,0.012
16,1971,0.038
67,holiday,0.012
21,shootout,0.036
5,dead,0.029
34,police,0.022
42,s,0.02
33,people,0.015
13,say,0.02
32,well,0.027
42,e,0.108
45,will,0.028
41,pakistan,0.024
34,based,0.035
44,end,0.012
32,50,0.078
38,two,0.012
53,trading,0.026
45,security,0.024
56,shootout,0.02
27,shot,0.02
45,took,0.013
17,accused,0.018
8,tony,0.012
8,likely,0.05
21,stunned,0.012
17,plan,0.016
63,holiday,0.013
37,war,0.015
11,died,0.019
43,13,0.04
43,time,0.018
14,tat,0.018
55,intelligence,0.023
26,likely,0.022
58,southern,0.048
43,yesterday,0.032
53,say,0.022
1,service,0.014
15,chief,0.011
61,took,0.039
56,along,0.016
8,saeed,0.038
66,70,0.012
2,war,0.019
62,place,0.04
58,took,0.019
19,extremist,0.016
35,militant,0.016
30,support,0.019
60,night,0.028
60,default,0.018
35,massing,0.095
5,road,0.018
55,fatalities,0.014
26,escalated,0.039
33,pakistan,0.02
69,trading,0.016
36,resigned,0.015
61,police,0.043
49,told,0.01
10,economic,0.015
33,police,0.016
1,will,0.033
64,war,0.012
61,lashkar,0.021
65,level,0.033
39,seen,0.018
46,accused,0.02
44,level,0.018
29,summer,0.038
30,india,0.031
0,accused,0.068
0,organisations,0.029
25,two,0.013
44,dora,0.027
11,resignation,0.01
64,dora,0.013
13,stunned,0.017
68,nitrous,0.011
5,border,0.016
20,accused,0.024
30,shot,0.027
41,six,0.01
55,raid,0.013
69,roads,0.021
20,act,0.023
64,border,0.016
27,seen,0.044
15,ago,0.011
48,christmas,0.017
68,trading,0.019
57,support,0.012
39,tony,0.014
7,carrying,0.034
30,currency,0.036
15,northern,0.014
68,western,0.013
44,kashmir,0.016
67,repayment,0.014
59,forces,0.022
20,capital,0.012
29,holiday,0.018
8,three,0.023
37,holiday,0.027
40,executive,0.012
10,repayment,0.012
45,sherbon,0.017
60,tensions,0.014
41,village,0.012
48,kilometers,0.016
68,karachi,0.024
18,place,0.03
28,wales,0.018
25,groups,0.037
60,dora,0.041
44,isolated,0.012
44,sides,0.041
43,massing,0.028
56,13,0.045
12,fatality,0.04
13,following,0.012
8,staff,0.014
46,shootout,0.023
8,failed,0.016
67,will,0.022
37,end,0.015
49,stunned,0.024
34,predecessor,0.011
26,foreign,0.01
17,christmas,0.016
61,kashmiri,0.025
54,soared,0.018
6,government,0.011
34,rodregiuez,0.016
18,dozen,0.014
66,border,0.067
37,extremist,0.039
14,fewer,0.045
51,tasmania,0.043
21,holiday,0.017
10,fatalities,0.024
0,behest,0.015
69,elections,0.013
19,behest,0.023
52,deepened,0.02
51,shootout,0.017
65,chief,0.067
1,well,0.011
0,groups,0.067
57,eight,0.018
9,raids,0.017
36,20,0.037
30,kashmir,0.016
63,indian,0.027
19,staff,0.013
19,congress,0.015
2,eight,0.042
39,based,0.037
58,security,0.018
53,troops,0.027
55,along,0.028
60,ve,0.013
42,soared,0.011
20,daunting,0.014
10,sides,0.031
19,south,0.026
43,saa,0.029
38,pakistan,0.029
26,since,0.066
41,promising,0.014
49,assume,0.011
2,whoever,0.015
36,taiba,0.015
36,massive,0.015
29,attack,0.023
35,midwives,0.014
11,debt,0.022
7,recorded,0.015
56,militants,0.032
14,pakistani,0.045
50,executive,0.019
26,eight,0.027
69,night,0.052
46,time,0.025
38,intelligence,0.016
52,along,0.03
8,role,0.011
26,along,0.027
6,following,0.027
51,area,0.021
62,toll,0.018
4,dora,0.017
68,series,0.015
65,night,0.011
53,india,0.019
57,raids,0.018
2,key,0.013
12,australia,0.054
52,able,0.015
47,indian,0.028
6,kilometers,0.029
50,crisis,0.012
29,shootout,0.023
11,staging,0.049
40,karachi,0.013
10,peronists,0.015
39,since,0.031
43,extremist,0.026
32,saeed,0.044
48,saeed,0.02
51,level,0.018
23,capital,0.06
63,suspected,0.022
18,extremist,0.025
25,plan,0.015
50,13,0.022
17,police,0.023
9,militant,0.018
2,groups,0.028
20,sides,0.026
60,sides,0.037
40,inappropriate,0.018
8,take,0.012
4,night,0.025
64,president,0.011
60,leader,0.018
2,launched,0.017
55,senior,0.015
30,attack,0.013
45,parliament,0.012
24,mohammad,0.048
37,india,0.014
15,promising,0.017
10,village,0.013
46,yesterday,0.037
58,argentina,0.026
30,victoria,0.067
65,extremist,0.027
16,political,0.02
40,soared,0.029
6,likely,0.037
60,presidency,0.016
1,took,0.027
40,extremist,0.01
63,pakistani,0.022
32,fewer,0.019
3,extremist,0.038
26,tensions,0.02
7,occasions,0.02
60,troops,0.034
66,illawarra,0.012
11,caretaker,0.012
63,plan,0.014
32,shot,0.039
19,consider,0.013
65,45,0.041
15,toll,0.031
34,sanctions,0.05
62,new,0.017
39,e,0.012
66,massing,0.014
17,troops,0.017
1,massing,0.021
41,years,0.015
13,know,0.018
19,village,0.012
21,free,0.037
39,s,0.021
56,suspected,0.017
45,toll,0.017
46,fellow,0.012
64,economic,0.011
36,three,0.014
9,ago,0.012
35,march,0.012
58,e,0.027
58,period,0.014
42,behest,0.022
2,deaths,0.036
26,level,0.015
4,tensions,0.03
19,plan,0.013
50,capital,0.059
30,encounter,0.053
33,tensions,0.013
68,remain,0.013
28,summer,0.035
24,caretaker,0.019
14,45,0.033
22,western,0.019
57,better,0.012
38,encounter,0.016
30,13,0.02
19,three,0.02
38,promising,0.014
22,taiba,0.011
55,fresh,0.016
57,pakistani,0.02
31,likely,0.05
22,took,0.019
60,peronists,0.016
1,involved,0.016
2,period,0.017
12,targetting,0.022
27,since,0.054
36,announced,0.056
2,behest,0.018
12,along,0.013
4,targetting,0.012
1,died,0.017
32,rescue,0.02
11,arrested,0.022
42,suspected,0.031
60,trading,0.016
4,free,0.015
51,following,0.011
8,targetting,0.027
9,capital,0.024
59,service,0.012
48,mohammed,0.024
23,hafiz,0.02
45,1971,0.028
41,assume,0.023
11,south,0.023
54,security,0.061
61,12,0.022
32,dora,0.011
19,last,0.028
4,hours,0.011
48,raids,0.017
56,came,0.047
35,diplomatic,0.01
23,two,0.034
69,national,0.032
18,body,0.018
67,stands,0.015
57,whoever,0.016
14,militants,0.066
26,mohammed,0.01
61,pakistan,0.024
60,two,0.049
15,dozen,0.048
21,groups,0.019
12,long,0.012
35,announced,0.075
59,capital,0.016
40,1971,0.065
1,fellow,0.011
60,50,0.025
5,sydney,0.01
37,mohammed,0.016
50,told,0.035
25,extremist,0.024
47,1971,0.044
56,yesterday,0.019
22,50,0.017
15,march,0.014
28,sanctions,0.055
52,ve,0.011
17,mohammed,0.013
14,likely,0.013
60,raids,0.026
61,recorded,0.019
15,soared,0.021
28,december,0.027
1,police,0.051
59,tackling,0.017
10,india,0.032
13,srinagar,0.061
28,militant,0.023
33,shootout,0.019
19,military,0.049
59,march,0.015
69,diplomatic,0.012
47,people,0.035
4,seen,0.045
32,relocated,0.011
20,northern,0.037
12,packages,0.027
63,diplomatic,0.034
54,since,0.021
17,stunned,0.018
6,behest,0.015
2,1971,0.022
48,international,0.012
35,trading,0.023
62,staff,0.015
65,northern,0.015
52,s,0.018
40,announced,0.012
49,tensions,0.035
58,saa,0.014
29,eight,0.024
21,tackling,0.018
62,70,0.012
40,illawarra,0.013
29,fatalities,0.016
47,western,0.016
50,s,0.032
59,just,0.012
4,announced,0.055
37,based,0.046
11,fatalities,0.035
58,border,0.048
12,year,0.031
21,level,0.032
2,isolated,0.009
10,summer,0.054
53,sides,0.02
57,s,0.014
33,trading,0.018
51,war,0.033
53,staging,0.053
50,million,0.029
20,pakistan,0.047
55,southern,0.013
45,caring,0.023
59,predecessor,0.023
4,will,0.011
37,e,0.02
64,summer,0.02
40,launched,0.04
9,soared,0.034
43,raids,0.014
15,remain,0.021
67,well,0.038
7,eight,0.018
5,launched,0.019
17,shootout,0.009
5,south,0.014
52,diplomatic,0.028
62,capital,0.056
24,since,0.036
44,national,0.036
37,suspected,0.017
22,labour,0.018
52,three,0.009
6,tasmania,0.036
1,political,0.016
4,forces,0.019
51,kashmiri,0.034
11,organisations,0.045
7,suspected,0.012
35,support,0.011
20,government,0.028
38,road,0.017
66,elections,0.011
