Topic,Term,Value
11,yesterday,0.048
9,trading,0.028
19,kilometers,0.012
17,attack,0.035
18,chief,0.027
1,last,0.016
5,jaish,0.056
13,kilometers,0.026
6,ramon,0.018
9,pakistan,0.031
1,agencies,0.012
12,fatality,0.038
10,years,0.01
19,behest,0.06
11,parliament,0.024
16,yesterday,0.013
7,groups,0.039
19,pakistan,0.026
7,occasions,0.008
3,crisis,0.012
5,dead,0.024
18,people,0.017
3,village,0.033
11,isolated,0.01
3,tat,0.071
14,south,0.027
16,parliament,0.02
18,million,0.012
2,chief,0.014
17,accused,0.021
8,likely,0.029
2,oxide,0.009
4,two,0.013
3,war,0.038
2,intelligence,0.02
4,southern,0.04
11,died,0.014
6,since,0.023
15,police,0.03
3,behest,0.035
8,saeed,0.009
2,war,0.05
9,annoyed,0.017
9,dead,0.017
3,period,0.017
17,shot,0.028
10,remain,0.038
19,eight,0.028
12,seen,0.022
14,currency,0.011
10,came,0.029
6,road,0.044
0,rodregiuez,0.01
1,will,0.031
11,shootout,0.026
13,wales,0.013
0,daunting,0.008
0,accused,0.051
7,targetting,0.04
16,agencies,0.012
17,military,0.012
13,victoria,0.032
6,free,0.016
6,labour,0.009
3,support,0.023
1,shot,0.019
10,aldolfo,0.013
13,parliament,0.014
17,put,0.009
2,ramon,0.016
8,failed,0.013
9,agencies,0.025
17,christmas,0.016
17,sherbon,0.012
5,saeed,0.014
17,place,0.017
2,next,0.01
3,carrying,0.048
2,risk,0.01
5,forces,0.012
9,re,0.012
0,groups,0.045
7,scheduled,0.01
9,raids,0.058
1,tasmania,0.014
6,jaish,0.014
16,action,0.012
19,toll,0.038
18,karachi,0.033
3,free,0.012
18,war,0.009
6,announced,0.041
13,work,0.01
12,accused,0.039
14,able,0.01
7,recorded,0.014
14,pakistani,0.024
17,long,0.012
16,use,0.012
1,fewer,0.016
6,following,0.013
10,caretaker,0.013
4,dora,0.03
19,remain,0.022
16,forces,0.025
8,daunting,0.018
2,night,0.043
18,toll,0.011
18,soared,0.017
13,seen,0.013
18,extremist,0.016
17,police,0.025
9,militant,0.01
2,groups,0.056
11,forces,0.015
19,two,0.036
2,launched,0.052
16,mohammad,0.018
3,militant,0.019
1,took,0.009
19,recession,0.013
2,carrying,0.027
1,massing,0.015
17,took,0.041
5,debt,0.013
13,pakistan,0.031
3,13,0.036
15,announced,0.049
0,tensions,0.042
4,tensions,0.016
13,use,0.009
8,intelligence,0.024
14,45,0.022
15,1971,0.021
19,years,0.01
16,wales,0.012
1,puerta,0.013
2,period,0.041
3,risk,0.019
11,suspected,0.01
4,targetting,0.015
1,died,0.034
11,arrested,0.013
16,fewer,0.013
4,free,0.012
2,village,0.029
16,presidency,0.01
15,leader,0.019
15,summer,0.049
0,mohammad,0.011
16,india,0.01
14,militants,0.048
13,capital,0.01
10,parliament,0.013
8,india,0.019
14,christmas,0.017
19,senior,0.015
13,caretaker,0.013
1,fellow,0.009
4,behaviour,0.025
18,militants,0.011
8,srinagar,0.018
18,tasmania,0.011
17,relocated,0.014
17,mohammed,0.019
14,likely,0.027
15,soared,0.034
1,police,0.01
13,srinagar,0.015
9,forces,0.014
16,45,0.025
12,packages,0.012
8,territory,0.013
17,stunned,0.015
6,behest,0.037
2,1971,0.033
15,plan,0.012
19,area,0.02
3,national,0.011
19,announcing,0.019
12,year,0.019
10,summer,0.013
3,launched,0.025
19,presidency,0.022
4,will,0.015
3,will,0.035
3,security,0.011
