Topic,Term,Value
7,office,0.011
4,caring,0.009
9,trading,0.019
2,daunting,0.015
9,night,0.05
5,13,0.031
8,took,0.025
3,tat,0.032
1,karachi,0.046
7,mohammed,0.018
4,office,0.016
5,since,0.02
9,groups,0.019
9,interim,0.019
7,government,0.01
1,massive,0.012
8,level,0.031
5,tensions,0.021
1,recorded,0.018
8,seen,0.027
4,oxide,0.012
8,shot,0.015
8,mohammed,0.051
4,parliament,0.013
9,year,0.009
9,repayment,0.01
4,kilometers,0.029
7,45,0.016
8,behaviour,0.011
0,new,0.016
7,groups,0.033
8,e,0.016
4,lending,0.015
4,massing,0.043
0,s,0.011
6,karachi,0.019
3,wales,0.013
2,took,0.055
3,three,0.013
0,million,0.01
2,kilometers,0.011
5,dead,0.038
0,taiba,0.038
3,roads,0.012
2,police,0.022
8,western,0.025
6,trading,0.024
4,fellow,0.024
6,1971,0.009
0,attack,0.043
1,international,0.009
2,chief,0.017
0,groups,0.031
6,eight,0.028
0,caretaker,0.008
1,deepened,0.012
8,militant,0.012
4,two,0.025
3,war,0.038
4,southern,0.012
2,dozen,0.023
3,argentina,0.032
9,appoints,0.01
2,victoria,0.012
0,years,0.011
4,south,0.062
8,saeed,0.015
6,13,0.01
5,quit,0.039
2,war,0.028
9,dead,0.026
3,period,0.013
5,groups,0.016
5,road,0.026
1,pakistani,0.042
3,place,0.018
3,night,0.014
8,summer,0.021
1,years,0.022
8,kashmiri,0.026
9,road,0.01
0,arrested,0.041
0,southern,0.013
4,intelligence,0.012
9,level,0.012
0,accused,0.056
7,targetting,0.018
8,promising,0.008
1,militants,0.012
1,escalated,0.009
5,know,0.008
7,tasmania,0.036
7,officer,0.02
4,women,0.015
1,place,0.045
3,arrested,0.021
8,hafiz,0.01
2,stands,0.036
6,dora,0.02
8,carrying,0.018
6,labour,0.01
7,kashmir,0.027
3,put,0.009
5,series,0.023
7,appoints,0.012
9,targetting,0.014
1,stands,0.015
3,e,0.013
4,shootout,0.049
1,shootout,0.065
6,escalated,0.014
1,interim,0.01
3,lending,0.012
2,ramon,0.013
1,police,0.016
9,summer,0.02
0,work,0.01
4,queensland,0.016
5,ll,0.009
9,agencies,0.009
6,quit,0.016
1,president,0.01
7,s,0.024
5,promising,0.008
8,political,0.011
4,remain,0.03
3,senior,0.017
1,dead,0.011
4,suspending,0.013
7,jaish,0.039
8,tit,0.029
3,end,0.014
1,packages,0.009
5,saeed,0.028
1,mohammad,0.018
0,trading,0.012
