Topic,Term,Value
7,organisations,0.019
38,better,0.021
13,tasmania,0.021
19,kilometers,0.02
42,rodregiuez,0.012
33,intelligence,0.018
34,suspected,0.022
46,attack,0.043
33,office,0.021
17,attack,0.022
52,promising,0.011
37,last,0.029
55,war,0.022
56,militant,0.08
12,india,0.013
59,escalated,0.016
13,kilometers,0.018
57,agencies,0.046
9,pakistan,0.017
51,puerta,0.023
57,women,0.012
40,massive,0.01
47,debt,0.01
39,capital,0.05
52,years,0.016
42,stands,0.048
55,tackling,0.015
18,military,0.066
53,troops,0.022
42,carrying,0.015
16,yesterday,0.014
47,karachi,0.021
3,organisations,0.047
29,series,0.014
14,just,0.02
17,45,0.02
24,escalated,0.016
19,targetting,0.011
18,toll,0.012
44,leader,0.014
36,people,0.021
21,remain,0.022
56,default,0.01
42,last,0.02
16,1971,0.023
44,launched,0.038
5,dead,0.024
34,police,0.028
54,20,0.012
27,arrested,0.051
32,war,0.012
36,illawarra,0.025
32,well,0.021
42,e,0.018
41,pakistan,0.021
34,based,0.039
23,failed,0.014
20,shootout,0.053
16,parliament,0.034
24,militant,0.043
18,million,0.013
2,chief,0.02
53,western,0.013
45,took,0.021
34,areas,0.019
59,isolated,0.016
4,two,0.017
3,war,0.023
51,militants,0.037
37,war,0.024
11,died,0.016
43,13,0.061
8,dozen,0.028
19,saeed,0.034
32,hafiz,0.029
22,45,0.027
50,tensions,0.033
27,december,0.015
32,road,0.032
49,police,0.018
26,unprofessional,0.009
9,dead,0.021
24,eight,0.039
29,along,0.011
32,plan,0.012
25,recorded,0.019
17,shot,0.031
19,eight,0.025
45,daunting,0.02
2,tensions,0.019
0,night,0.013
33,border,0.029
55,remain,0.04
28,staging,0.02
29,chief,0.021
23,shootout,0.016
29,soared,0.026
26,says,0.029
43,rodregiuez,0.015
33,police,0.017
49,place,0.02
15,behaviour,0.018
39,seen,0.016
46,accused,0.014
50,involved,0.011
29,summer,0.018
0,accused,0.07
19,caretaker,0.013
25,two,0.028
20,four,0.023
37,sides,0.012
17,raids,0.012
4,tat,0.064
43,suspected,0.012
20,act,0.045
13,security,0.019
32,argentina,0.013
27,seen,0.016
17,military,0.02
48,christmas,0.017
40,appoints,0.04
35,president,0.014
8,accused,0.012
54,raids,0.057
