Topic,Term,Value
6,pr_vision,0.045
15,abuse,0.04
30,misinformation,0.021
8,type,0.052
49,legislation,0.02
16,trade,0.062
41,plupart,0.002
9,article,0.122
39,plupart,0.001
47,visit,0.088
47,hisse,0.002
28,capx,0.038
10,organisme,0.002
3,pr_vision,0.002
28,web,0.076
19,person,0.038
28,archive,0.038
3,banque,0.002
42,gouvernement,0.002
19,school,0.038
38,brexit,0.075
16,parliament,0.062
8,facebook_com,0.103
9,trimestre,0.001
41,juin,0.002
20,fref,0.081
5,petition,0.037
45,sortie,0.001
0,world,0.026
38,sortie,0.001
26,article,0.045
48,petition,0.077
7,croissance,0.002
38,bonport,0.001
34,banque,0.002
22,sortie,0.002
31,bonport,0.002
27,magazine,0.038
30,documentation,0.021
15,right,0.079
8,sortie,0.001
43,contempt,0.066
24,juin,0.002
11,effect,0.047
11,agreement,0.047
4,science,0.042
19,https,0.038
26,petition,0.09
44,juin,0.002
13,time,0.088
1,range,0.05
13,bonport,0.002
34,croissance,0.002
26,video,0.045
40,plupart,0.002
4,civilization,0.082
30,follower,0.021
46,man,0.075
33,schwanz,0.035
49,city,0.02
44,plupart,0.002
34,juin,0.002
43,democracy,0.066
19,fill,0.038
49,import,0.02
41,croissance,0.002
34,hisse,0.002
28,lunatic,0.038
5,development,0.037
20,https_www,0.081
6,britannique,0.021
14,yat,0.052
29,shoot,0.047
44,britain,0.097
8,brexit,0.052
46,power,0.038
23,http,0.043
10,plupart,0.002
20,upr,0.081
17,juin,0.002
36,quote,0.027
3,sortie,0.002
23,com,0.043
1,tariff,0.098
5,nation,0.06
45,inputsof,0.062
17,banque,0.002
24,hisse,0.002
11,mean,0.047
6,tre,0.031
27,http,0.038
28,brexit,0.038
45,saywhatsoeverin,0.062
48,utm_source,0.039
41,royaume,0.002
40,farage,0.088
33,organisation,0.035
37,national,0.028
17,croissance,0.002
16,deal,0.062
16,sponsor,0.062
32,conomie,0.058
27,facebook_com,0.038
35,conomie,0.031
38,plupart,0.001
48,power,0.04
11,pricesin,0.047
42,pr_vision,0.002
43,way,0.066
36,right,0.027
12,croissance,0.002
7,trimestre,0.002
5,moslem,0.037
9,rightsright,0.062
26,source_location,0.045
9,remedy,0.062
13,supporter,0.088
46,faith,0.038
39,word,0.066
18,good,0.024
10,royaume,0.002
43,bill,0.066
14,com,0.052
31,croissance,0.002
29,vicar,0.047
18,library,0.024
0,page,0.051
21,brexit,0.042
23,person,0.043
6,croissance,0.037
24,pr_vision,0.002
47,croissance,0.002
18,briefing,0.047
19,racism,0.038
42,banque,0.002
8,theater,0.052
25,article,0.136
18,oppertunity,0.024
29,silk,0.047
12,royaume,0.002
4,step,0.042
47,royaume,0.002
47,information,0.088
29,idea,0.047
11,part,0.047
27,news,0.038
20,facebook_com,0.081
25,nation,0.023
37,tax,0.058
10,hisse,0.002
17,plupart,0.002
4,ancient,0.042
11,regime,0.047
15,judge,0.04
43,parliament,0.066
15,remedy,0.079
36,lobby,0.027
45,course,0.062
15,abus,0.04
27,thank,0.038
20,pr_vision,0.002
13,plupart,0.002
19,inability,0.038
38,market,0.075
32,link,0.058
23,right,0.043
13,hisse,0.002
13,trimestre,0.002
33,membership,0.068
22,plupart,0.002
35,parliament,0.025
35,tre,0.021
37,choice,0.029
34,plupart,0.002
31,plupart,0.002
37,guarantor,0.029
13,croissance,0.002
20,seulement,0.002
46,life,0.038
13,sortie,0.002
44,hisse,0.002
7,hisse,0.002
46,slavery,0.038
9,luximo,0.062
8,guy,0.052
28,britain,0.038
15,solution,0.04
15,article,0.079
0,country,0.051
5,test,0.037
33,boris,0.035
35,britannique,0.031
48,person,0.039
8,photo,0.052
10,pr_vision,0.002
35,pr_vision,0.033
12,petition,0.088
21,tory,0.042
30,brexiteer,0.021
14,union,0.052
33,brexit,0.035
31,organisme,0.002
21,remainer,0.042
2,ntexit,0.029
7,sortie,0.002
30,cebr,0.021
30,trade,0.021
29,sow,0.094
22,trimestre,0.002
31,brexiteer,0.107
1,britain,0.05
9,pr_vision,0.001
25,travel,0.017
1,trading,0.05
44,banque,0.002
26,theresa,0.09
14,sthash,0.052
27,bbc,0.038
28,http,0.038
24,plupart,0.002
48,utm_medium,0.039
17,hisse,0.002
47,seulement,0.002
1,employment,0.05
43,brexit,0.066
0,residency,0.051
11,tariff,0.047
21,brexiteer,0.042
24,royaume,0.002
0,protest,0.026
2,sympathy,0.029
39,government,0.066
29,purse,0.047
6,sortie,0.017
46,grace,0.038
18,country,0.047
31,banque,0.002
36,mind,0.027
40,croissance,0.002
9,croissance,0.001
31,hisse,0.002
5,assurance,0.03
7,royaume,0.002
24,croissance,0.002
31,seulement,0.002
11,euif,0.047
9,facebook_com,0.062
3,royaume,0.002
23,referendum,0.043
43,sortie,0.001
17,pr_vision,0.002
46,sanctity,0.038
40,petition,0.088
14,britain,0.052
21,london,0.042
1,number,0.05
4,arm,0.042
36,part,0.027
21,crap,0.042
12,sortie,0.002
33,zis,0.035
40,royaume,0.002
43,talk,0.066
7,juin,0.002
4,force,0.042
27,facebook,0.038
17,organisme,0.002
39,street,0.066
36,decision,0.027
41,sortie,0.002
47,sortie,0.002
45,standardsand,0.062
2,majority,0.057
49,right,0.04
39,trimestre,0.001
24,sortie,0.002
30,trading,0.042
43,pr_vision,0.001
8,https_www,0.103
18,brixit,0.024
12,plupart,0.002
4,warrior,0.042
17,sortie,0.002
32,avec,0.058
42,team,0.097
44,workguyslook,0.097
22,croissance,0.002
42,sortie,0.002
49,drink,0.02
35,croissance,0.041
12,pr_vision,0.002
19,surveymonkey,0.038
6,brexitla,0.016
35,government,0.025
44,sortie,0.002
15,nature,0.04
22,seulement,0.002
34,seulement,0.002
12,sign,0.088
31,gouvernement,0.002
23,decision,0.043
38,end,0.075
21,march,0.082
5,influence,0.037
5,religion,0.037
39,public,0.066
2,godplease,0.029
29,bloke,0.047
37,refusal,0.027
41,banque,0.002
40,hisse,0.002
20,plupart,0.002
49,article,0.04
33,world,0.035
27,holiday,0.038
40,sortie,0.002
41,hisse,0.002
12,property,0.088
0,post,0.026
2,london,0.029
21,think,0.042
49,vehicle,0.02
48,sign,0.039
9,facebook,0.062
24,seulement,0.002
30,sector,0.042
19,com,0.038
42,petition,0.097
10,banque,0.002
26,parliament,0.045
37,bil,0.027
42,croissance,0.002
36,somebody,0.027
19,project,0.038
33,custom,0.035
45,royaume,0.001
10,sortie,0.002
30,transition,0.021
2,england,0.057
0,majority,0.026
48,link,0.077
40,bonport,0.002
45,reasonsexporter,0.062
34,organisme,0.002
22,brexit,0.081
18,help,0.024
24,banque,0.002
0,track,0.026
40,pr_vision,0.002
20,sortie,0.002
10,croissance,0.002
23,tradition,0.043
48,devolution,0.039
25,rightsright,0.063
38,estate,0.149
5,troopsnaval,0.03
24,organisme,0.002
16,trimestre,0.001
13,email,0.088
4,smolensk,0.042
1,business,0.05
26,amorphamedia,0.045
3,hisse,0.002
13,pr_vision,0.002
22,march,0.081
47,facebook,0.088
48,click,0.077
4,falla,0.042
0,investor,0.051
30,system,0.021
23,brexit,0.043
10,juin,0.002
25,remedy,0.063
49,flight,0.04
36,hand,0.027
6,analyste,0.017
38,pr_vision,0.001
39,luximo,0.066
32,fref,0.001
31,sortie,0.002
32,petition,0.058
12,gouvernement,0.002
17,royaume,0.002
40,sign,0.088
8,wait,0.052
2,part,0.029
12,banque,0.002
3,juin,0.002
4,rome,0.042
1,brexiteer,0.05
18,continieu,0.024
25,trade,0.016
16,dit,0.062
25,euro,0.023
44,trimestre,0.002
3,plupart,0.002
47,plupart,0.002
17,seulement,0.002
23,lord,0.043
34,pr_vision,0.002
39,share,0.066
38,croissance,0.001
44,croissance,0.002
7,side,0.097
46,fact,0.038
36,line,0.027
0,right,0.026
25,deal,0.019
7,banque,0.002
26,sponsor,0.045
46,law,0.039
9,https_www,0.062
14,frexit,0.052
41,pr_vision,0.002
23,britishand,0.043
39,http,0.066
7,touch,0.097
37,security,0.053
37,london,0.03
26,https_www,0.045
18,part,0.047
35,fait,0.016
35,royaume,0.017
21,derision,0.042
28,tax,0.03
11,import,0.047
22,bowl,0.081
5,euro,0.06
34,sortie,0.002
33,thank,0.035
27,site,0.038
32,sign,0.058
16,petition,0.122
45,product,0.062
43,seulement,0.001
1,outcome,0.05
27,history,0.038
44,seulement,0.002
33,scenario,0.035
41,organisme,0.002
35,gouvernement,0.025
6,gouvernement,0.027
32,pronostic,0.058
29,proof,0.047
37,zonesa,0.034
28,ally,0.022
11,trade,0.047
16,article,0.062
15,agreement,0.04
6,conomie,0.021
29,contradiction,0.047
3,croissance,0.002
