Topic,Term,Value
24,hate,0.089
26,plupart,0.002
67,email,0.066
15,form,0.092
24,trimestre,0.001
36,plupart,0.002
59,news,0.089
28,sortie,0.002
0,banque,0.002
46,racist,0.058
30,hisse,0.002
50,article,0.044
55,sortie,0.002
10,delay,0.089
33,juin,0.002
45,juin,0.002
62,warrior,0.047
49,drink,0.055
40,banque,0.001
64,reasonsexporter,0.076
41,plupart,0.001
59,sign,0.089
48,hisse,0.002
64,standardsand,0.076
77,croissance,0.002
79,conomie,0.018
53,deal,0.062
65,day,0.052
39,plupart,0.002
34,prophet,0.052
56,apathy,0.036
3,pr_vision,0.002
18,influence,0.108
27,sortie,0.002
27,hisse,0.002
13,public,0.024
14,royaume,0.016
69,hisse,0.002
64,inputsof,0.076
11,plupart,0.002
3,banque,0.002
32,https_www,0.108
79,croissance,0.019
41,trimestre,0.001
66,pr_vision,0.001
57,estate,0.116
11,hisse,0.002
34,method,0.052
77,pr_vision,0.002
23,farage,0.16
27,organisme,0.002
76,seulement,0.001
53,importer,0.062
18,sortie,0.001
37,organisme,0.002
57,web,0.116
45,sortie,0.002
49,team,0.055
58,independence,0.075
43,luximo,0.082
55,juin,0.002
52,majority,0.069
67,britain,0.066
11,juin,0.002
72,government,0.138
15,juin,0.002
7,croissance,0.002
62,falla,0.047
5,facebook_com,0.108
63,juin,0.002
37,pr_vision,0.002
23,gouvernement,0.002
22,sortie,0.002
67,hisse,0.001
17,type,0.098
50,england,0.022
69,juin,0.002
15,plupart,0.002
74,regime,0.055
69,sortie,0.002
68,srexit,0.121
61,misinformation,0.038
28,croissance,0.002
27,seulement,0.002
34,system,0.052
45,banque,0.002
1,group,0.057
29,power,0.071
49,good,0.055
67,outcome,0.066
72,gouvernement,0.002
62,step,0.047
50,victim,0.022
48,croissance,0.002
45,workguyslook,0.085
71,plupart,0.002
40,plupart,0.001
50,comfort,0.022
70,croissance,0.002
37,croissance,0.002
63,sortie,0.002
6,shame,0.071
58,pr_vision,0.002
10,article,0.089
67,trading,0.066
30,royaume,0.002
26,royaume,0.002
30,plupart,0.002
8,referendum,0.076
43,seulement,0.001
10,croissance,0.001
46,line,0.058
1,lesson,0.057
71,banque,0.002
21,sanctity,0.043
23,pr_vision,0.002
40,inability,0.098
59,magazine,0.089
72,croissance,0.002
75,residente,0.03
10,plupart,0.001
37,sortie,0.002
41,croissance,0.001
64,course,0.076
1,facebook_com,0.057
75,help,0.03
38,share,0.033
61,documentation,0.038
70,royaume,0.002
18,juin,0.001
49,food,0.055
53,economic,0.062
29,utm_source,0.071
36,trimestre,0.002
40,issue,0.098
8,brexit,0.076
47,bonport,0.002
54,sortie,0.002
47,sortie,0.002
53,analysis,0.062
58,banque,0.002
69,banque,0.002
21,faith,0.043
60,sow,0.086
32,facebook_com,0.108
1,hope,0.057
3,sortie,0.002
2,croissance,0.001
13,word,0.024
2,hisse,0.001
64,brexiteer,0.076
51,right,0.062
66,croissance,0.001
24,tory,0.089
34,rule,0.052
0,gouvernement,0.002
17,banque,0.001
55,france,0.002
12,ntexit,0.043
19,sortie,0.002
33,croissance,0.002
23,banque,0.002
19,plupart,0.002
57,britain,0.058
29,copylink,0.071
46,hand,0.058
41,right,0.121
74,tariff,0.055
0,juin,0.002
25,nation,0.078
26,banque,0.002
41,royaume,0.001
4,briefing,0.05
13,employment,0.024
72,pr_vision,0.002
18,religion,0.108
76,bill,0.098
34,property,0.052
17,croissance,0.001
78,penny,0.108
23,croissance,0.002
46,somebody,0.058
16,hisse,0.001
16,wait,0.089
42,pr_vision,0.002
4,rule,0.05
34,effect,0.052
33,pr_vision,0.002
70,hisse,0.002
12,croissance,0.001
50,sympathy,0.022
39,banque,0.002
14,rement,0.016
56,court,0.071
73,london,0.036
0,democracy,0.138
21,law,0.043
60,tea,0.043
58,plupart,0.002
44,avec,0.043
11,form,0.055
29,share_petition,0.071
31,croissance,0.002
29,cas,0.001
13,briefing,0.049
60,purse,0.043
6,generation,0.071
58,bonport,0.002
25,aid,0.039
67,supporter,0.066
6,croissance,0.001
8,hisse,0.001
47,croissance,0.002
28,royaume,0.002
72,seulement,0.002
63,pr_vision,0.002
48,plupart,0.002
46,thing,0.058
24,deal,0.089
46,contradiction,0.058
45,hisse,0.002
28,plupart,0.002
73,tax,0.071
44,conomie,0.048
15,banque,0.002
47,plupart,0.002
54,juin,0.002
45,croissance,0.002
65,derision,0.052
39,royaume,0.002
16,brexit,0.089
4,world,0.05
71,hisse,0.002
68,brexit,0.121
7,pr_vision,0.002
55,trimestre,0.002
14,conomie,0.03
76,trimestre,0.001
28,hisse,0.002
49,trading,0.055
6,person,0.071
14,tre,0.031
72,parliament,0.138
24,trade,0.089
3,croissance,0.002
6,britishand,0.071
50,arm,0.022
30,seulement,0.002
21,fact,0.043
63,plupart,0.002
8,http,0.076
13,number,0.024
54,plupart,0.002
30,banque,0.002
77,royaume,0.002
74,euif,0.055
76,parliament,0.098
30,pr_vision,0.002
54,royaume,0.002
44,delivery,0.039
36,juin,0.002
20,protest,0.055
7,hisse,0.002
10,pr_vision,0.001
2,article,0.216
36,workguyslook,0.077
28,pr_vision,0.002
49,petition,0.055
44,pronostic,0.043
21,sensualism,0.043
25,support,0.039
30,juin,0.002
15,seulement,0.002
22,plupart,0.002
40,person,0.098
78,hisse,0.001
43,click,0.082
19,pr_vision,0.002
36,seulement,0.002
64,saywhatsoeverin,0.076
59,trimestre,0.001
29,utm_medium,0.071
6,tradition,0.071
33,royaume,0.002
4,scenario,0.05
49,partner,0.055
31,plupart,0.002
23,trimestre,0.002
17,facebook_com,0.098
77,plupart,0.002
34,petition,0.052
26,hisse,0.002
36,sortie,0.002
69,plupart,0.002
1,site,0.057
34,country,0.052
20,share,0.055
15,hisse,0.002
27,pr_vision,0.002
1,history,0.057
26,pr_vision,0.002
1,brexit,0.057
29,recruiter,0.071
34,click,0.052
69,organisme,0.002
35,seulement,0.002
79,tromp,0.009
79,bonport,0.011
43,royaume,0.001
64,manufacturing,0.076
51,dispatch,0.062
9,banque,0.002
40,winston,0.098
33,plupart,0.002
79,plongerait,0.01
37,juin,0.002
26,croissance,0.002
67,range,0.066
62,arm,0.047
6,right,0.071
52,luximo,0.073
61,trading,0.076
35,pr_vision,0.002
58,royaume,0.002
18,banque,0.001
75,country,0.06
9,seulement,0.002
51,meeting,0.062
0,trimestre,0.002
18,development,0.108
56,right,0.071
31,organisme,0.002
48,banque,0.002
70,seulement,0.002
7,sortie,0.002
33,banque,0.002
9,royaume,0.002
26,seulement,0.002
22,trimestre,0.002
79,tre,0.01
65,crap,0.052
31,brexiteer,0.16
50,right,0.022
59,pr_vision,0.001
9,pr_vision,0.002
17,photo,0.098
5,video,0.108
0,sortie,0.002
54,hisse,0.002
10,change,0.089
35,croissance,0.002
52,wale,0.043
62,civilization,0.094
21,islam,0.043
47,gouvernement,0.002
29,change,0.071
11,croissance,0.002
64,sortie,0.001
32,pr_vision,0.001
66,johnson,0.098
38,investor,0.066
53,business,0.062
24,royaume,0.001
60,vogue,0.043
62,europe,0.047
15,racism,0.103
37,hisse,0.002
1,member,0.057
43,person,0.082
50,london,0.022
74,consumer,0.055
21,extinction,0.043
9,plupart,0.002
68,smolensk,0.121
69,croissance,0.002
5,trimestre,0.001
12,ireland,0.048
9,croissance,0.002
31,hisse,0.002
55,gouvernement,0.002
7,royaume,0.002
20,order,0.055
24,croissance,0.001
31,seulement,0.002
76,plupart,0.001
12,brexit,0.063
35,organisme,0.002
3,royaume,0.002
55,royaume,0.002
17,pr_vision,0.001
39,organisme,0.002
43,bonport,0.001
20,girl,0.055
42,hisse,0.002
29,contradiction,0.071
61,post,0.038
75,peace,0.03
2,pr_vision,0.001
57,archive,0.058
60,link,0.043
51,list,0.062
12,wale,0.044
7,juin,0.002
75,oppertunity,0.03
7,seulement,0.002
20,petition,0.055
23,royaume,0.002
61,past,0.038
59,petition,0.089
19,hisse,0.002
39,pr_vision,0.002
41,sortie,0.001
65,march,0.104
33,dit,0.16
73,security,0.071
16,juin,0.001
4,requirement,0.05
10,theresa,0.178
5,hisse,0.001
39,hisse,0.002
2,seulement,0.001
19,royaume,0.002
74,pound,0.055
24,sortie,0.001
54,banque,0.002
8,banque,0.001
38,visa,0.033
76,sortie,0.001
0,contempt,0.138
72,bonport,0.002
13,business,0.024
73,fishing,0.036
58,trimestre,0.002
48,organisme,0.002
20,sign,0.055
74,addition,0.055
66,boris,0.098
40,gouvernement,0.001
23,seulement,0.002
17,sortie,0.001
22,gouvernement,0.002
54,croissance,0.002
42,sortie,0.002
44,share,0.039
8,com,0.076
25,commitment,0.039
16,game,0.089
67,rule,0.066
59,sortie,0.001
31,bonport,0.002
55,plupart,0.002
18,moslem,0.108
4,brexitie,0.05
61,addition,0.038
59,http,0.089
69,pr_vision,0.002
60,side,0.043
71,pr_vision,0.002
31,gouvernement,0.002
78,sortie,0.001
41,worker,0.121
70,sortie,0.002
38,residency,0.066
78,trimestre,0.001
51,group,0.062
61,need,0.038
16,gouvernement,0.001
79,banque,0.01
78,croissance,0.001
5,plupart,0.001
8,brexiteer,0.076
35,banque,0.002
45,trimestre,0.002
13,exit,0.049
51,blair,0.062
56,nature,0.036
41,banque,0.001
70,organisme,0.002
0,plupart,0.002
32,sortie,0.001
28,juin,0.002
21,grace,0.043
52,https_www,0.073
22,juin,0.002
69,seulement,0.002
52,ntexit,0.043
41,property,0.121
44,petition,0.078
48,royaume,0.002
50,anybody,0.022
68,plupart,0.001
32,plupart,0.001
77,sortie,0.002
14,culpaestimant,0.017
6,honor,0.071
10,source_location,0.089
24,article,0.089
68,hisse,0.001
25,assurance,0.039
12,part,0.045
11,racism,0.043
61,transition,0.038
17,https_www,0.098
14,croissance,0.046
71,croissance,0.002
48,sortie,0.002
19,banque,0.002
59,bbc,0.089
79,pr_vision,0.018
43,petition,0.082
11,banque,0.002
3,juin,0.002
78,bowl,0.108
73,choice,0.036
42,croissance,0.002
38,sponsor,0.033
2,bonport,0.001
62,rome,0.047
20,post,0.055
45,britain,0.076
40,seulement,0.001
60,vicar,0.043
68,pr_vision,0.001
67,tariff,0.131
73,zonesa,0.036
53,trade,0.062
77,seulement,0.002
70,pr_vision,0.002
14,son,0.016
64,plupart,0.001
65,someone,0.052
42,juin,0.002
36,croissance,0.002
22,brexit,0.16
2,sortie,0.001
75,ruin,0.03
71,sortie,0.002
29,devolution,0.071
38,article,0.066
78,brexit,0.108
61,example,0.038
39,sortie,0.002
12,scotland,0.05
62,information,0.047
68,trimestre,0.001
24,thank,0.089
63,banque,0.002
