Topic,Term,Value
1,access,0.05
4,generation,0.042
29,time,0.002
36,business,0.028
2,rule,0.04
15,country,0.05
32,group,0.04
31,country,0.069
22,petition,0.002
9,euro,0.043
15,ruin,0.025
32,abus,0.04
17,croissance,0.025
21,article,0.06
18,thank,0.002
2,effect,0.04
28,world,0.049
26,change,0.05
19,sign,0.045
10,petition,0.001
16,independence,0.001
18,sortie,0.002
36,agreement,0.028
5,import,0.041
18,hisse,0.002
3,way,0.047
3,parliament,0.047
16,market,0.061
14,amenity,0.033
34,thank,0.002
20,deal,0.027
9,deal,0.022
7,croissance,0.036
12,luximo,0.002
38,attempt,0.033
6,holiday,0.045
4,article,0.082
5,trading,0.061
11,world,0.047
27,dpbs,0.025
38,cartoon,0.033
1,trade,0.05
37,parliament,0.05
36,import,0.028
30,article,0.002
25,sow,0.066
25,shoot,0.033
35,list,0.038
26,petition,0.001
13,time,0.002
38,someone,0.033
14,flight,0.066
31,space,0.035
17,tre,0.016
4,island,0.042
13,parliament,0.002
11,order,0.047
19,hydrophobia,0.045
30,royaume,0.002
25,share_petition,0.033
1,deal,0.05
10,instigator,0.055
37,petition,0.098
22,parliament,0.081
35,part,0.038
23,rush,0.027
11,page,0.093
25,photo,0.033
21,farage,0.03
12,parliament,0.002
13,click,0.002
2,brexit,0.04
13,right,0.002
2,system,0.04
18,brexiteer,0.088
2,com,0.04
0,fill,0.036
39,man,0.05
29,petition,0.002
15,comfort,0.025
11,girl,0.047
11,soul,0.047
11,protest,0.047
4,tradition,0.042
20,bil,0.027
2,country,0.04
14,city,0.033
7,britannique,0.023
28,warrior,0.028
2,http,0.04
38,derision,0.033
23,wait,0.027
22,pr_vision,0.002
17,gouvernement,0.018
19,video,0.045
6,history,0.045
4,decision,0.042
23,petition,0.054
34,government,0.002
16,brexit,0.001
21,nature,0.03
7,pr_vision,0.039
6,group,0.045
28,rome,0.028
12,link,0.002
30,petition,0.088
4,britishand,0.042
8,inputsof,0.04
17,france,0.01
8,manufacturing,0.04
0,project,0.036
10,brexiteer,0.001
3,sign,0.047
30,banque,0.002
29,trade,0.002
32,agreement,0.04
31,visa,0.035
38,winston,0.033
17,britannique,0.015
27,referendum,0.025
16,end,0.061
31,schengen,0.035
39,facebook,0.03
21,photo,0.03
35,fref,0.038
36,pricesin,0.028
6,brexit,0.045
5,drink,0.021
37,march,0.05
1,research,0.05
26,source_location,0.05
34,brexit,0.138
23,guy,0.027
6,site,0.045
39,https_www,0.03
34,petition,0.002
32,dispatch,0.04
29,discrimination,0.075
35,brexit,0.038
29,farage,0.002
4,thank,0.042
31,travel,0.035
37,sponsor,0.05
28,faith,0.028
9,nation,0.043
1,centre,0.05
26,brexit,0.001
30,time,0.002
38,person,0.033
12,petition,0.002
0,school,0.036
28,force,0.028
13,person,0.002
11,post,0.047
12,farage,0.002
33,brexit,0.002
35,upr,0.038
21,judge,0.03
0,range,0.036
21,right,0.06
22,trimestre,0.002
9,aid,0.022
25,bloke,0.033
8,product,0.04
31,majority,0.035
20,tax,0.053
26,theresa,0.098
6,day,0.045
38,inability,0.033
34,person,0.002
20,tenure,0.027
14,number,0.033
21,court,0.06
7,conomie,0.022
5,example,0.021
3,click,0.047
30,sortie,0.002
13,petition,0.002
0,outcome,0.036
27,review,0.025
16,brexiteer,0.001
39,pronostic,0.03
37,penny,0.05
9,blank,0.022
7,brexit,0.016
36,supporter,0.028
12,brexit,0.002
31,investor,0.069
17,pr_vision,0.016
37,brexit,0.05
3,thank,0.047
3,petition,0.047
13,farage,0.002
16,estate,0.121
9,issue,0.022
18,banque,0.002
4,remedy,0.042
15,part,0.05
10,churchill,0.055
35,https_www,0.038
23,sign,0.054
6,blog,0.045
38,tory,0.033
9,contradiction,0.022
14,residente,0.033
20,drive,0.027
10,property,0.055
6,facebook,0.045
27,article,0.025
7,gouvernement,0.022
14,side,0.033
39,avec,0.03
27,briefing,0.049
1,cebr,0.05
15,attack,0.025
20,security,0.053
15,father,0.025
1,importer,0.05
19,man,0.045
22,sortie,0.002
13,thank,0.002
19,votary,0.045
19,amorphamedia,0.045
5,standard,0.021
17,conomie,0.017
33,parliament,0.002
12,right,0.002
18,brexit,0.002
7,scotland,0.016
10,inspiration,0.055
16,team,0.061
15,competition,0.025
21,precedent,0.03
31,residency,0.069
26,rightsright,0.05
27,exit,0.049
33,person,0.002
32,meeting,0.04
8,brexiteer,0.04
22,analyste,0.002
33,link,0.002
7,majority,0.032
39,facebook_com,0.03
13,share,0.002
24,time,0.058
24,parliament,0.058
2,lord,0.04
9,gov,0.022
14,water,0.033
10,make,0.055
11,globalist,0.047
30,hisse,0.002
27,fullfact,0.025
39,d_jou,0.03
18,croissance,0.002
36,email,0.028
15,terror,0.025
23,game,0.027
23,click,0.027
8,reasonsexporter,0.04
17,contradiction,0.053
1,analysis,0.05
26,parliament,0.001
21,agreement,0.03
24,workguyslook,0.058
11,facebook,0.047
28,membership,0.04
37,farage,0.001
7,part,0.016
6,hope,0.045
24,sponsor,0.058
27,house,0.025
22,brexit,0.002
30,plupart,0.002
10,arch,0.055
28,europe,0.028
5,web,0.041
24,right,0.001
0,surveymonkey,0.036
18,petition,0.002
19,https_www,0.045
3,link,0.047
32,legislation,0.04
27,visit,0.025
29,dit,0.002
1,business,0.05
29,http,0.002
37,brexiteer,0.05
20,guarantor,0.027
26,remedy,0.05
4,rightsright,0.042
25,idea,0.033
23,link,0.027
4,person,0.042
31,family,0.035
28,civilization,0.055
3,share,0.047
34,farage,0.002
39,britannique,0.03
31,programme,0.035
39,luximo,0.03
20,position,0.027
27,area,0.025
30,croissance,0.002
0,anybody,0.036
5,brexit,0.041
20,paymentsthreat,0.027
8,standardsand,0.04
3,bill,0.047
33,click,0.002
29,racism,0.075
22,thank,0.002
38,remainer,0.033
2,property,0.04
14,condition,0.033
35,right,0.038
0,tariff,0.071
39,conomie,0.03
12,thank,0.002
22,brexiteer,0.002
36,link,0.028
24,brexit,0.001
32,article,0.079
2,prophet,0.04
28,arm,0.028
33,rightsright,0.002
23,share,0.054
28,ancient,0.028
8,democracy,0.04
29,form,0.075
22,government,0.081
19,facebook_com,0.045
21,remedy,0.06
15,justice,0.025
9,assurance,0.022
35,blair,0.038
32,channel,0.04
1,economic,0.05
8,johnson,0.04
36,consumer,0.028
9,commitment,0.022
8,boris,0.04
34,srexit,0.07
5,sector,0.041
37,bowl,0.05
33,thank,0.002
33,farage,0.002
34,smolensk,0.07
32,right,0.04
16,petition,0.061
19,petition,0.045
23,deal,0.027
11,share,0.047
13,sign,0.002
29,brexit,0.002
8,saywhatsoeverin,0.04
17,allemagne,0.011
10,dit,0.055
32,remedy,0.04
6,lesson,0.045
14,safeness,0.033
16,article,0.001
25,recruiter,0.033
25,power,0.033
19,mohammedanism,0.045
17,office,0.01
34,remedy,0.002
24,britain,0.058
35,facebook_com,0.038
0,com,0.036
15,england,0.025
36,person,0.055
10,brexit,0.055
37,web,0.05
33,petition,0.002
25,copylink,0.033
0,https,0.036
18,plupart,0.002
5,past,0.021
26,delay,0.05
20,refusal,0.027
26,article,0.146
18,royaume,0.002
24,click,0.001
24,petition,0.115
3,talk,0.047
12,government,0.002
24,farage,0.001
16,farage,0.001
35,lobby,0.038
14,touch,0.033
12,share,0.002
7,tre,0.023
38,march,0.066
5,export,0.041
30,brexit,0.002
33,right,0.002
36,trade,0.028
34,parliament,0.002
25,purse,0.033
