Topic,Term,Value
3,majority,0.053
86,flight,0.107
32,croissance,0.002
19,croissance,0.002
44,pr_vision,0.001
8,theirsand,0.041
36,plupart,0.002
12,article,0.092
0,banque,0.002
13,apathy,0.044
43,consumer,0.046
34,someone,0.053
6,plupart,0.002
46,seulement,0.002
64,royaume,0.002
29,brexitla,0.001
84,plupart,0.002
77,business,0.06
53,dit,0.054
42,croissance,0.002
16,channel,0.064
40,banque,0.002
38,access,0.069
41,plupart,0.002
20,euro,0.001
70,bonport,0.002
15,organisme,0.002
30,amendment,0.079
82,croissance,0.002
49,facebook,0.022
30,com,0.079
89,web,0.054
47,hisse,0.002
28,position,0.036
48,upr,0.094
10,organisme,0.002
9,srexit,0.07
17,croissance,0.002
27,sortie,0.002
27,hisse,0.002
83,croissance,0.002
84,banque,0.002
69,hisse,0.002
3,person,0.053
38,deal,0.069
46,organisme,0.002
48,plupart,0.001
61,d_jou,0.104
79,croissance,0.002
41,trimestre,0.002
74,trimestre,0.001
44,link,0.116
10,sortie,0.002
20,nation,0.001
4,soul,0.064
27,organisme,0.002
62,frexit,0.15
76,seulement,0.002
57,plupart,0.001
18,sortie,0.002
15,pr_vision,0.002
9,trimestre,0.002
40,royaume,0.002
11,transition,0.024
18,hisse,0.002
45,sortie,0.001
68,seulement,0.002
39,organisation,0.039
83,plupart,0.002
35,organisme,0.002
7,attempt,0.037
50,pr_vision,0.002
51,rule,0.074
30,lord,0.079
39,churchill,0.039
70,trimestre,0.002
49,pr_vision,0.044
25,sortie,0.001
15,juin,0.002
39,scenario,0.039
76,croissance,0.002
52,trading,0.036
63,juin,0.002
37,pr_vision,0.002
16,list,0.064
11,nation,0.047
22,sortie,0.002
5,royaume,0.002
21,banque,0.002
69,juin,0.002
31,juin,0.002
15,plupart,0.002
5,seulement,0.002
25,seulement,0.001
69,sortie,0.002
25,pr_vision,0.001
65,britain,0.067
87,rush,0.044
56,racism,0.131
11,documentation,0.024
25,croissance,0.001
27,seulement,0.002
11,sector,0.047
14,article,0.086
29,power,0.079
29,devolution,0.079
65,yat,0.067
33,trimestre,0.001
73,end,0.116
11,trading,0.047
86,course,0.054
12,set,0.046
53,arm,0.054
65,theviralogs,0.067
72,royaume,0.002
6,hate,0.15
42,juin,0.002
2,bowl,0.116
36,croissance,0.002
85,sortie,0.002
51,effect,0.074
31,pr_vision,0.002
48,right,0.094
40,plupart,0.002
70,croissance,0.002
37,croissance,0.002
38,centre,0.069
63,sortie,0.002
65,sthash,0.067
85,croissance,0.002
2,sortie,0.001
47,juin,0.002
73,estate,0.23
26,conomie,0.022
30,plupart,0.001
8,referendum,0.041
74,touch,0.098
23,hisse,0.002
8,judgement,0.041
61,hisse,0.001
65,com,0.067
49,parliament,0.044
63,royaume,0.002
46,pr_vision,0.002
34,remainer,0.053
82,royaume,0.002
59,shoot,0.06
79,royaume,0.002
1,rightsright,0.116
72,croissance,0.002
60,ruin,0.041
37,sortie,0.002
41,croissance,0.002
7,london,0.034
12,abus,0.046
2,trimestre,0.001
57,petition,0.23
55,seulement,0.002
7,day,0.045
70,royaume,0.002
7,crap,0.033
18,juin,0.002
5,pr_vision,0.002
58,share,0.057
87,article,0.088
78,bonport,0.001
46,sortie,0.002
11,respect,0.024
76,hisse,0.002
14,trimestre,0.001
38,business,0.069
29,utm_source,0.079
39,brexit,0.078
2,brexit,0.116
39,union,0.039
20,support,0.001
54,sortie,0.002
47,sortie,0.002
52,reflection,0.036
69,banque,0.002
10,plupart,0.002
58,trading,0.057
82,pr_vision,0.002
76,royaume,0.002
66,archive,0.079
88,law,0.044
2,croissance,0.001
9,brexit,0.083
78,delay,0.094
2,hisse,0.001
59,idea,0.06
58,public,0.057
17,banque,0.002
64,banque,0.002
52,hand,0.036
19,sortie,0.002
81,juin,0.002
1,croissance,0.001
23,banque,0.002
60,good,0.041
29,copylink,0.079
76,sortie,0.002
58,street,0.057
51,hisse,0.001
0,juin,0.002
11,time,0.024
31,royaume,0.002
28,fishing,0.036
41,royaume,0.002
71,sortie,0.002
3,recover,0.027
89,facebook,0.054
71,banque,0.002
81,sortie,0.002
70,gouvernement,0.002
48,fref,0.094
32,juin,0.002
86,golf,0.054
73,sortie,0.001
3,generation,0.027
26,com,0.016
31,plupart,0.002
83,juin,0.002
50,organisme,0.002
42,pr_vision,0.002
55,gouvernement,0.002
9,petition,0.138
20,link,0.116
50,croissance,0.002
45,parliament,0.116
32,hisse,0.002
24,property,0.176
54,banque,0.002
81,banque,0.002
58,government,0.057
34,slogan,0.049
69,pr_vision,0.002
10,royaume,0.002
52,vehicle,0.036
85,hisse,0.002
29,share_petition,0.079
2,march,0.116
31,croissance,0.002
18,pr_vision,0.002
51,country,0.074
19,plupart,0.002
22,pr_vision,0.002
1,plupart,0.001
1,article,0.23
1,sortie,0.001
24,pr_vision,0.002
47,croissance,0.002
72,seulement,0.002
72,hisse,0.002
32,seulement,0.002
29,conomiste,0.001
73,plupart,0.001
89,game,0.054
78,plupart,0.001
6,tory,0.15
65,exit,0.067
74,information,0.053
70,test,0.176
49,information,0.021
72,organisme,0.002
42,banque,0.002
21,pr_vision,0.002
25,article,0.23
87,channel,0.044
45,croissance,0.001
73,bonport,0.001
44,croissance,0.001
4,world,0.064
71,hisse,0.002
88,extinction,0.044
55,trimestre,0.002
33,development,0.074
43,import,0.046
75,winston,0.069
49,government,0.044
77,reasonsexporter,0.06
66,britain,0.079
3,sympathy,0.027
78,theresa,0.187
8,review,0.041
53,force,0.054
74,facebook,0.05
7,someone,0.033
12,court,0.092
60,part,0.081
63,plupart,0.002
10,hisse,0.002
17,plupart,0.002
14,video,0.086
13,blog,0.044
56,croissance,0.001
85,banque,0.002
84,juin,0.002
39,briefing,0.039
55,sortie,0.002
13,curse,0.044
57,sortie,0.001
39,market,0.039
62,plupart,0.002
5,sortie,0.002
54,royaume,0.002
14,sortie,0.001
82,sortie,0.002
20,sign,0.116
6,royaume,0.002
88,faith,0.044
79,plupart,0.002
7,slogan,0.039
82,supporter,0.15
43,pound,0.046
89,facebook_com,0.107
12,judge,0.046
13,history,0.044
66,http,0.079
34,cartoon,0.048
66,web,0.158
21,organisme,0.002
22,plupart,0.002
1,seulement,0.001
4,globalist,0.064
19,pr_vision,0.002
77,brexiteer,0.06
36,seulement,0.002
22,organisme,0.002
29,utm_medium,0.079
72,pr_vision,0.002
52,issue,0.036
33,moslem,0.074
52,thing,0.036
23,trimestre,0.002
73,seulement,0.001
13,hydrophobia,0.044
56,plupart,0.001
64,organisme,0.002
88,woman,0.044
36,sortie,0.002
69,plupart,0.002
34,brexiteer,0.058
79,seulement,0.002
39,membership,0.078
15,hisse,0.002
26,pr_vision,0.031
29,recruiter,0.079
69,organisme,0.002
79,sortie,0.002
14,facebook_com,0.086
43,regime,0.046
67,croissance,0.001
35,seulement,0.002
50,banque,0.002
88,sensualism,0.044
51,prophet,0.074
7,think,0.043
26,brexit,0.046
53,rome,0.054
85,royaume,0.002
61,seulement,0.001
0,seulement,0.002
83,hisse,0.002
26,croissance,0.035
50,juin,0.002
26,tre,0.021
41,farage,0.106
4,facebook,0.064
35,pr_vision,0.002
64,juin,0.002
18,banque,0.002
8,impact,0.041
60,peace,0.041
54,croissance,0.002
25,rightsright,0.116
56,juin,0.001
73,croissance,0.001
31,organisme,0.002
48,banque,0.001
44,click,0.116
12,remedy,0.092
86,right,0.054
13,site,0.044
81,organisme,0.002
42,sortie,0.002
62,banque,0.002
80,country,0.102
69,royaume,0.002
4,order,0.064
24,bonport,0.002
55,pr_vision,0.002
56,discrimination,0.131
9,pr_vision,0.002
18,croissance,0.002
25,bonport,0.001
68,hisse,0.002
12,precedent,0.046
44,banque,0.001
53,step,0.054
21,royaume,0.002
30,referendum,0.079
24,plupart,0.002
17,hisse,0.002
83,pr_vision,0.002
47,seulement,0.002
29,change,0.079
49,conomie,0.027
51,property,0.074
80,investor,0.102
64,sortie,0.002
23,brexit,0.176
8,article,0.041
12,right,0.092
32,pr_vision,0.002
89,https_www,0.107
21,hisse,0.002
87,abus,0.044
89,guy,0.054
52,good,0.036
68,croissance,0.002
72,juin,0.002
67,plupart,0.001
37,hisse,0.002
6,banque,0.002
49,croissance,0.034
6,sortie,0.002
57,banque,0.001
31,banque,0.002
41,banque,0.002
4,share,0.064
35,sortie,0.002
69,croissance,0.002
40,croissance,0.002
61,avec,0.104
21,seulement,0.002
31,hisse,0.002
43,mean,0.046
38,importer,0.069
2,penny,0.116
58,rule,0.057
6,seulement,0.002
24,croissance,0.002
74,sortie,0.001
31,seulement,0.002
76,plupart,0.002
15,royaume,0.002
45,pr_vision,0.001
87,meeting,0.044
17,pr_vision,0.002
16,dispatch,0.064
1,remedy,0.116
88,man,0.088
42,hisse,0.002
77,saywhatsoeverin,0.06
44,bonport,0.001
80,family,0.051
6,juin,0.002
58,outcome,0.057
18,organisme,0.002
30,share,0.079
56,seulement,0.001
59,photo,0.06
89,thank,0.054
80,visa,0.051
23,gouvernement,0.002
74,britain,0.098
67,analyste,0.001
43,trade,0.046
73,hisse,0.001
13,man,0.044
23,royaume,0.002
82,email,0.15
16,lobby,0.064
19,hisse,0.002
38,economic,0.069
3,england,0.053
28,paymentsthreat,0.036
86,water,0.054
41,sortie,0.002
72,banque,0.002
74,workguyslook,0.098
57,croissance,0.001
17,juin,0.002
53,europe,0.054
82,seulement,0.002
5,hisse,0.002
13,member,0.044
2,seulement,0.001
19,royaume,0.002
24,sortie,0.002
60,continieu,0.041
21,plupart,0.002
89,wait,0.054
80,majority,0.051
86,number,0.054
81,croissance,0.002
61,plupart,0.001
59,vicar,0.06
50,seulement,0.002
16,name,0.064
46,plupart,0.002
23,france,0.002
83,royaume,0.002
4,girl,0.064
17,sortie,0.002
80,track,0.051
24,gouvernement,0.002
84,pr_vision,0.002
85,organisme,0.002
60,country,0.081
0,hisse,0.002
22,croissance,0.002
58,word,0.057
75,petition,0.069
58,range,0.057
35,croissance,0.002
7,march,0.067
45,analyste,0.001
5,juin,0.002
83,organisme,0.002
84,croissance,0.002
46,banque,0.002
28,choice,0.036
22,seulement,0.002
17,organisme,0.002
55,plupart,0.002
33,influence,0.074
34,march,0.104
86,condition,0.054
82,bonport,0.002
77,employment,0.06
75,bonport,0.001
1,bonport,0.001
43,euif,0.046
67,parliament,0.116
65,union,0.067
25,plupart,0.001
0,plupart,0.002
34,attempt,0.051
78,trimestre,0.001
61,conomie,0.104
49,britannique,0.019
77,course,0.06
78,croissance,0.001
18,seulement,0.002
8,area,0.041
5,plupart,0.002
62,sortie,0.002
13,mohammedanism,0.044
77,person,0.06
35,banque,0.002
45,trimestre,0.001
48,https_www,0.094
14,deal,0.086
32,sortie,0.002
76,banque,0.002
75,inability,0.069
70,sortie,0.002
40,hisse,0.002
82,hisse,0.002
38,research,0.069
22,juin,0.002
26,gouvernement,0.025
40,sortie,0.002
79,hisse,0.002
40,juin,0.002
55,farage,0.089
68,plupart,0.002
32,plupart,0.002
62,seulement,0.002
31,sortie,0.002
33,photo,0.074
54,pr_vision,0.002
0,sortie,0.002
16,meeting,0.064
3,attack,0.027
67,pr_vision,0.001
32,royaume,0.002
14,croissance,0.001
71,croissance,0.002
48,sortie,0.001
64,seulement,0.002
79,pr_vision,0.002
24,seulement,0.002
33,theater,0.074
65,brexit,0.093
79,banque,0.002
86,community,0.054
57,gouvernement,0.001
33,religion,0.074
60,competition,0.041
83,sortie,0.002
26,parliament,0.016
30,thank,0.079
60,world,0.041
84,seulement,0.002
61,britannique,0.104
46,juin,0.002
62,hisse,0.002
63,gouvernement,0.002
44,sign,0.116
67,petition,0.23
40,seulement,0.002
68,pr_vision,0.002
57,seulement,0.001
28,drive,0.036
19,juin,0.002
30,http,0.079
64,plupart,0.002
51,insecurity,0.074
61,banque,0.001
51,method,0.074
14,trade,0.086
70,pr_vision,0.002
84,royaume,0.002
24,banque,0.002
35,plupart,0.002
28,london,0.036
36,royaume,0.002
50,plupart,0.002
34,london,0.053
40,pr_vision,0.002
32,organisme,0.002
67,sortie,0.001
10,croissance,0.002
63,contempt,0.15
57,sign,0.23
76,pr_vision,0.002
87,lobby,0.044
59,vogue,0.06
63,democracy,0.15
63,banque,0.002
57,trimestre,0.001
0,croissance,0.002
27,croissance,0.002
24,organisme,0.002
15,banque,0.002
56,form,0.131
3,father,0.027
62,royaume,0.002
13,group,0.044
36,hisse,0.002
48,facebook_com,0.094
8,http,0.041
53,science,0.054
26,dutch,0.016
15,seulement,0.002
51,system,0.074
15,croissance,0.002
27,pr_vision,0.002
35,juin,0.002
59,bloke,0.06
3,island,0.027
71,seulement,0.002
47,pr_vision,0.002
74,side,0.098
0,organisme,0.002
87,legislation,0.044
80,schengen,0.051
64,hisse,0.002
39,rule,0.039
11,standard,0.024
3,today,0.027
7,cartoon,0.041
87,blair,0.044
28,deal,0.036
78,change,0.094
40,organisme,0.002
48,gouvernement,0.001
33,type,0.074
9,hisse,0.002
46,hisse,0.002
83,banque,0.002
59,purse,0.06
87,judge,0.044
16,quote,0.064
72,sortie,0.002
66,capx,0.079
10,juin,0.002
12,nature,0.046
25,remedy,0.116
34,crap,0.053
26,britannique,0.024
52,dogma,0.036
38,analysis,0.069
61,juin,0.001
11,brexiteer,0.024
19,organisme,0.002
28,act,0.036
23,plupart,0.002
87,remedy,0.044
80,space,0.051
19,seulement,0.002
84,organisme,0.002
80,residency,0.102
55,croissance,0.002
21,juin,0.002
59,sow,0.12
68,sortie,0.002
75,confirm,0.069
71,organisme,0.002
64,croissance,0.002
23,juin,0.002
43,http,0.046
77,standardsand,0.06
36,organisme,0.002
15,sortie,0.002
76,organisme,0.002
44,trimestre,0.001
17,royaume,0.002
47,plupart,0.002
20,cheque,0.001
4,post,0.064
84,sortie,0.002
0,pr_vision,0.002
79,juin,0.002
71,plupart,0.002
9,sortie,0.002
81,plupart,0.002
17,seulement,0.002
20,petition,0.116
46,royaume,0.002
60,johnson,0.041
63,trimestre,0.002
68,organisme,0.002
27,banque,0.002
69,seulement,0.002
4,protest,0.064
43,addition,0.046
39,brexitie,0.039
5,croissance,0.002
71,royaume,0.002
50,royaume,0.002
65,smolensk,0.035
78,pr_vision,0.001
85,plupart,0.002
68,royaume,0.002
56,hisse,0.001
49,tre,0.028
75,issue,0.069
37,plupart,0.002
14,amorphamedia,0.086
44,petition,0.116
27,juin,0.002
45,bonport,0.001
71,pr_vision,0.002
36,banque,0.002
85,pr_vision,0.002
27,royaume,0.002
54,petition,0.15
43,tariff,0.046
66,brexit,0.079
8,fullfact,0.041
74,visit,0.056
56,sortie,0.001
41,pr_vision,0.002
77,product,0.06
42,organisme,0.002
35,hisse,0.002
45,plupart,0.001
45,petition,0.23
71,juin,0.002
47,organisme,0.002
4,page,0.128
35,royaume,0.002
47,royaume,0.002
88,islam,0.044
59,proof,0.06
62,independence,0.15
74,plupart,0.001
54,gouvernement,0.002
70,banque,0.002
85,seulement,0.002
88,slavery,0.044
11,euro,0.047
22,banque,0.002
38,cebr,0.069
79,organisme,0.002
58,tariff,0.113
68,juin,0.002
19,banque,0.002
46,croissance,0.002
52,racist,0.036
20,click,0.116
9,plupart,0.002
48,worker,0.094
75,click,0.069
53,civilization,0.107
81,royaume,0.002
1,pr_vision,0.001
59,silk,0.06
14,https_www,0.086
9,croissance,0.002
47,banque,0.002
73,pr_vision,0.001
36,pr_vision,0.002
16,group,0.064
62,juin,0.002
67,trimestre,0.001
37,banque,0.002
8,briefing,0.081
56,banque,0.001
78,article,0.094
75,person,0.136
77,manufacturing,0.06
52,mind,0.036
80,programme,0.051
88,power,0.044
33,https_www,0.074
10,pr_vision,0.002
73,market,0.116
33,facebook_com,0.074
6,gouvernement,0.002
57,royaume,0.001
70,plupart,0.002
50,hisse,0.002
25,hisse,0.001
37,seulement,0.002
30,sortie,0.001
65,dpbs,0.067
55,royaume,0.002
5,organisme,0.002
76,juin,0.002
45,sponsor,0.116
37,royaume,0.002
81,hisse,0.002
84,hisse,0.002
