Topic,Term,Value
48,juin,0.002
26,plupart,0.001
0,partner,0.046
4,churchill,0.051
30,luximo,0.091
6,plupart,0.001
46,seulement,0.002
32,trade,0.046
45,juin,0.002
34,inability,0.044
31,country,0.063
9,nature,0.022
27,peace,0.023
41,plupart,0.002
50,gouvernement,0.002
59,england,0.034
6,remedy,0.091
39,plupart,0.002
9,article,0.043
3,facebook_com,0.036
17,croissance,0.002
5,rush,0.1
19,churchill,0.078
21,conomie,0.016
22,majority,0.028
38,deal,0.026
48,plupart,0.002
33,vogue,0.048
23,blair,0.056
12,click,0.084
9,agreement,0.022
10,petition,0.034
53,trading,0.067
57,plupart,0.002
18,sortie,0.002
18,hisse,0.002
45,sortie,0.002
25,organisme,0.002
4,gouvernement,0.002
29,someone,0.039
2,way,0.056
38,paymentsthreat,0.028
50,pr_vision,0.002
55,juin,0.002
12,seulement,0.001
32,union,0.046
22,force,0.028
31,system,0.063
49,pr_vision,0.002
25,sortie,0.002
47,racist,0.048
3,archive,0.036
38,drive,0.03
34,banque,0.002
51,seulement,0.002
19,instigator,0.078
20,mohammedanism,0.078
25,seulement,0.002
1,inputsof,0.046
27,brixit,0.023
43,contradiction,0.063
3,capx,0.036
9,right,0.085
10,share,0.034
3,test,0.036
25,croissance,0.002
24,juin,0.002
45,banque,0.002
43,srexit,0.063
31,effect,0.063
58,fill,0.029
3,blog,0.036
19,gouvernement,0.001
38,security,0.043
11,pr_vision,0.035
44,juin,0.002
7,influence,0.035
48,croissance,0.002
13,bonport,0.001
52,trade,0.039
34,croissance,0.002
40,plupart,0.002
36,sector,0.058
32,brexit,0.046
56,utm_source,0.035
30,royaume,0.001
45,brexit,0.125
43,smolensk,0.063
0,drink,0.046
7,sensualism,0.034
14,consumer,0.046
2,person,0.056
17,trimestre,0.002
46,pr_vision,0.002
44,plupart,0.002
19,brexit,0.078
28,video,0.091
23,quote,0.056
0,trading,0.046
29,remainer,0.039
0,motor,0.046
15,ireland,0.063
41,croissance,0.002
22,investor,0.056
59,person,0.034
44,pr_vision,0.002
57,petition,0.112
55,seulement,0.002
48,hisse,0.002
8,importer,0.051
18,juin,0.002
5,pr_vision,0.002
46,sortie,0.002
16,order,0.042
23,lobby,0.056
2,brexit,0.056
42,referendum,0.059
37,trimestre,0.002
54,sortie,0.001
29,brexiteer,0.077
15,brexit,0.063
52,commitment,0.039
26,fref,0.091
54,side,0.078
3,web,0.072
10,sign,0.034
20,banque,0.001
29,share,0.039
53,hisse,0.001
38,fishing,0.027
17,banque,0.002
9,court,0.043
2,right,0.056
24,hisse,0.002
49,royaume,0.002
47,issue,0.048
26,facebook_com,0.091
21,gouvernement,0.018
43,deal,0.063
15,scotland,0.063
29,march,0.077
43,article,0.063
2,number,0.056
20,hydrophobia,0.078
1,conomie,0.046
47,party,0.048
53,brexiteer,0.067
52,assurance,0.039
10,thank,0.068
1,d_jou,0.046
16,wait,0.042
34,issue,0.05
1,manufacturing,0.046
39,banque,0.002
33,sow,0.096
8,economic,0.051
5,delivery,0.1
9,remedy,0.043
27,oppertunity,0.023
2,employment,0.056
38,refusal,0.033
36,standard,0.029
37,gouvernement,0.002
8,access,0.051
16,post,0.042
53,tariff,0.133
22,civilization,0.056
18,pr_vision,0.002
2,parliament,0.056
56,power,0.035
51,pr_vision,0.002
30,https_www,0.091
1,avec,0.046
6,croissance,0.001
24,pr_vision,0.002
13,theresa,0.154
47,hand,0.048
6,rightsright,0.091
52,euro,0.077
45,hisse,0.002
28,plupart,0.001
21,pr_vision,0.029
4,inability,0.063
28,facebook_com,0.091
39,royaume,0.002
44,croissance,0.002
50,royaume,0.002
30,facebook,0.091
12,royaume,0.001
23,channel,0.056
33,bloke,0.048
47,somebody,0.048
12,link,0.084
28,hisse,0.001
53,rule,0.067
58,theirsand,0.029
7,slavery,0.034
4,banque,0.002
5,bonport,0.002
17,farage,0.125
26,banque,0.001
55,organisme,0.002
17,plupart,0.002
54,plupart,0.001
10,link,0.034
58,dutch,0.029
58,judgement,0.029
55,sortie,0.002
57,sortie,0.002
30,pr_vision,0.001
38,paris,0.024
5,sortie,0.002
21,france,0.013
31,method,0.063
50,team,0.112
13,plupart,0.001
21,tre,0.017
6,bonport,0.001
7,development,0.035
32,briefing,0.046
36,government,0.029
37,banque,0.002
13,trimestre,0.001
9,solution,0.022
21,pour,0.012
19,make,0.078
33,idea,0.048
34,plupart,0.002
36,transition,0.029
13,croissance,0.001
40,banque,0.002
10,security,0.046
24,seulement,0.002
42,parliament,0.059
20,gouvernement,0.001
16,girl,0.042
44,hisse,0.002
26,pr_vision,0.001
1,tory,0.046
11,conomie,0.027
35,seulement,0.002
50,banque,0.002
23,dispatch,0.056
56,union,0.035
7,religion,0.035
35,trimestre,0.002
41,organisme,0.002
29,word,0.039
37,sortie,0.002
49,croissance,0.002
55,hisse,0.002
12,petition,0.084
16,soul,0.042
18,banque,0.002
31,organisme,0.001
48,banque,0.002
26,seulement,0.001
55,pr_vision,0.002
18,croissance,0.002
42,petition,0.118
16,protest,0.042
20,votary,0.078
34,person,0.044
38,guarantor,0.024
24,plupart,0.002
56,copylink,0.035
54,market,0.078
51,banque,0.002
44,organisme,0.002
11,croissance,0.042
38,tax,0.039
43,brexit,0.125
31,insecurity,0.063
23,name,0.056
46,gouvernement,0.002
48,pr_vision,0.002
24,royaume,0.002
51,juin,0.002
37,hisse,0.002
12,trimestre,0.001
6,sortie,0.001
57,banque,0.002
35,sortie,0.002
40,croissance,0.002
8,trade,0.051
35,http,0.112
35,luximo,0.112
6,seulement,0.001
24,croissance,0.002
11,britannique,0.027
1,britannique,0.046
7,time,0.035
33,vicar,0.048
31,follower,0.063
39,organisme,0.002
10,position,0.028
14,mean,0.046
36,trading,0.058
49,sortie,0.002
51,royaume,0.002
0,penny,0.046
29,london,0.039
50,croissance,0.002
46,bonport,0.002
12,sortie,0.001
18,organisme,0.002
12,confirm,0.084
40,royaume,0.002
42,http,0.059
15,part,0.063
23,group,0.056
36,misinformation,0.029
51,organisme,0.002
51,plupart,0.002
13,change,0.078
58,project,0.029
43,trade,0.063
14,supporter,0.046
59,petition,0.067
19,hisse,0.001
41,bonport,0.002
41,sortie,0.002
28,https_www,0.091
5,hisse,0.002
47,dogma,0.048
39,hisse,0.002
27,article,0.089
24,sortie,0.002
54,banque,0.001
9,abuse,0.022
43,pr_vision,0.001
3,history,0.036
5,seulement,0.002
33,proof,0.048
11,information,0.018
14,euif,0.046
1,brexiteer,0.046
50,seulement,0.002
48,organisme,0.002
46,plupart,0.002
36,respect,0.029
17,sortie,0.002
1,pronostic,0.046
54,croissance,0.001
2,business,0.056
10,click,0.034
42,sortie,0.001
35,croissance,0.002
12,pr_vision,0.001
4,seulement,0.002
16,game,0.042
4,winston,0.051
16,page,0.084
34,seulement,0.002
55,plupart,0.002
8,analysis,0.051
21,contempt,0.057
59,comfort,0.034
59,http,0.034
5,share,0.1
25,plupart,0.002
53,pr_vision,0.001
32,membership,0.091
33,shoot,0.048
3,brexit,0.072
18,seulement,0.002
5,plupart,0.002
45,gouvernement,0.002
58,library,0.029
4,plupart,0.002
29,street,0.039
45,trimestre,0.002
41,banque,0.002
30,facebook_com,0.091
28,juin,0.001
40,hisse,0.002
20,plupart,0.001
6,hisse,0.001
26,gouvernement,0.001
40,sortie,0.002
36,need,0.029
41,property,0.125
30,hisse,0.001
2,bill,0.056
47,line,0.048
59,arm,0.034
31,property,0.063
58,com,0.029
33,photo,0.048
10,tax,0.048
48,seulement,0.002
27,right,0.023
37,france,0.002
48,sortie,0.002
15,england,0.063
34,churchill,0.057
51,hisse,0.002
47,reflection,0.048
47,mind,0.048
57,gouvernement,0.002
44,banque,0.002
6,pr_vision,0.001
58,briefing,0.057
45,royaume,0.002
42,sponsor,0.059
27,good,0.023
40,seulement,0.002
49,organisme,0.002
6,article,0.181
27,ruin,0.023
23,meeting,0.056
42,amendment,0.059
13,article,0.078
53,britain,0.067
25,pr_vision,0.002
37,web,0.112
8,research,0.051
7,moslem,0.035
14,trade,0.046
24,banque,0.002
56,exit,0.035
30,plupart,0.001
29,government,0.039
50,plupart,0.002
43,frexit,0.063
40,pr_vision,0.002
33,petition,0.048
56,johnson,0.035
20,sortie,0.001
51,croissance,0.002
57,sign,0.112
35,banque,0.002
7,mohammedan,0.034
56,schwanz,0.035
52,gov,0.039
19,juin,0.001
24,organisme,0.002
32,scenario,0.046
15,banque,0.001
3,hope,0.036
56,com,0.035
51,sortie,0.002
37,brexiteer,0.112
15,croissance,0.001
46,parliament,0.112
35,juin,0.002
14,email,0.046
13,pr_vision,0.001
28,banque,0.001
16,globalist,0.042
11,link,0.018
0,food,0.046
46,hisse,0.002
52,nation,0.077
56,boris,0.035
49,seulement,0.002
4,person,0.063
33,tea,0.048
44,royaume,0.002
32,world,0.046
14,pound,0.046
28,seulement,0.001
28,amorphamedia,0.091
1,saywhatsoeverin,0.046
14,addition,0.046
52,blank,0.039
32,brexitie,0.046
9,golf,0.022
31,rule,0.063
30,croissance,0.001
14,import,0.046
59,sponsor,0.034
55,croissance,0.002
49,banque,0.002
54,touch,0.078
32,britain,0.046
15,majority,0.125
42,brexit,0.059
53,outcome,0.067
22,programme,0.028
25,juin,0.002
39,juin,0.002
40,organisme,0.002
17,royaume,0.002
2,worker,0.056
4,issue,0.057
0,good,0.046
7,power,0.034
17,seulement,0.002
27,part,0.045
50,petition,0.112
7,man,0.066
54,end,0.078
11,click,0.018
31,prophet,0.063
37,royaume,0.002
42,com,0.059
42,lord,0.059
19,inspiration,0.078
25,banque,0.002
36,brexit,0.029
