Topic,Term,Value
0,sector,0.029
9,purse,0.021
3,trade,0.011
8,article,0.017
2,fact,0.018
5,facebook,0.02
6,trade,0.013
13,supporter,0.036
4,property,0.021
10,pronostic,0.018
12,travel,0.02
11,brexiteer,0.017
0,confirm,0.021
3,britannique,0.019
17,brixit,0.025
13,man,0.036
3,agreement,0.011
17,part,0.048
15,majority,0.018
12,country,0.039
5,good,0.02
4,method,0.021
1,article,0.002
7,theresa,0.034
8,exit,0.017
11,blair,0.017
3,pr_vision,0.029
15,facebook_com,0.018
7,facebook_com,0.017
7,sympathy,0.017
5,brexit,0.02
18,line,0.027
19,euro,0.053
11,right,0.017
4,sign,0.021
5,soul,0.02
12,march,0.028
18,mind,0.027
16,brexit,0.002
14,channel,0.031
11,abus,0.017
16,web,0.037
12,track,0.02
12,member,0.02
3,conomie,0.018
18,thing,0.027
19,troopsnaval,0.027
10,d_jou,0.019
1,zis,0.038
3,croissance,0.028
6,market,0.025
10,luximo,0.038
0,person,0.021
2,wifeor,0.018
7,holiday,0.017
5,page,0.038
5,trading,0.02
18,brexit,0.052
18,issue,0.027
11,channel,0.017
9,silk,0.021
2,refinement,0.018
17,member,0.025
17,good,0.025
12,majority,0.02
13,curse,0.036
11,world,0.017
9,tea,0.021
15,remedy,0.036
8,fullfact,0.017
4,insecurity,0.021
0,tax,0.027
14,lobby,0.031
5,share,0.02
16,business,0.037
19,deal,0.027
15,rightsright,0.018
4,country,0.021
4,petition,0.082
14,blair,0.031
3,gouvernement,0.019
9,right,0.021
2,life,0.018
3,addition,0.011
13,apathy,0.036
17,country,0.048
8,area,0.017
8,brexiteer,0.038
11,agreement,0.017
17,continieu,0.025
2,faith,0.018
11,article,0.033
9,person,0.021
0,government,0.033
19,nation,0.053
13,email,0.036
13,brexit,0.002
9,proof,0.021
16,person,0.037
12,sign,0.039
13,hydrophobia,0.036
6,britain,0.025
3,http,0.021
13,votary,0.036
16,test,0.037
1,frexit,0.038
6,estate,0.025
16,number,0.037
16,petition,0.002
15,https_www,0.018
8,opinion,0.017
15,brexit,0.023
1,brexit,0.002
6,flight,0.025
8,briefing,0.034
2,man,0.035
11,civilization,0.033
8,referendum,0.017
6,web,0.025
17,world,0.025
16,employment,0.037
0,link,0.021
12,investor,0.039
14,right,0.06
19,gov,0.027
15,article,0.062
7,arm,0.017
15,court,0.018
17,brexit,0.025
1,schwanz,0.038
1,petition,0.002
0,security,0.022
12,petition,0.039
9,bloke,0.021
12,residency,0.039
10,facebook,0.038
1,leetle,0.038
18,decision,0.027
2,mohammedan,0.018
19,blank,0.027
15,right,0.018
18,contradiction,0.027
5,export,0.02
1,boris,0.038
8,commons,0.017
15,deal,0.023
2,dignity,0.018
4,prophet,0.021
2,brexit,0.018
7,facebook,0.017
8,brexit,0.034
4,system,0.021
14,part,0.031
18,reflection,0.027
0,parliament,0.021
7,godplease,0.017
13,mohammedanism,0.036
10,brexit,0.002
6,number,0.013
10,conomie,0.015
3,tre,0.018
18,hand,0.027
4,follower,0.021
19,article,0.027
9,brexit,0.021
10,facebook_com,0.038
14,quote,0.031
7,person,0.017
14,group,0.031
0,petition,0.021
9,idea,0.021
11,tariff,0.033
6,brexit,0.037
10,https_www,0.038
19,support,0.027
5,vehicle,0.02
9,sow,0.041
1,thank,0.002
13,petition,0.002
14,dispatch,0.031
19,trade,0.027
16,brexiteer,0.037
14,name,0.031
19,natos,0.027
6,petition,0.025
7,brexit,0.017
16,sign,0.002
17,oppertunity,0.025
18,racist,0.027
0,click,0.021
1,johnson,0.038
7,time,0.017
5,motor,0.02
2,power,0.018
10,avec,0.018
4,rule,0.021
17,ruin,0.025
6,membership,0.025
14,meeting,0.031
10,britannique,0.018
